object_id,ifc_guid,ifc_class,name,specification,primary_wbs
ZONE_A,05s0DvC$jRV929XyJ91g6F,IfcBuildingElementProxy,공사구역,,PK.20.10.A
ZONE_B,2x_36Mv31GngMSBAisIBtD,IfcBuildingElementProxy,공사구역,,PK.20.10.B
ZONE_C,0q2_uZzdrVsxsTXBPSE5Qa,IfcBuildingElementProxy,공사구역,,PK.20.10.C
ZONE_D,3$1Stc6JfRHQZHDbAILU6L,IfcBuildingElementProxy,공사구역,,PK.20.10.D
walkway_A,3q3q0DWtjTh8ZN5wMJC4TJ,IfcPavement,보행로 블록포장,200×200mm / 유효폭 2m,PK.40.30.A
walkway_B,2uUU441FzPTQzrtbwPLFUK,IfcPavement,보행로 블록포장,200×200mm / 유효폭 2m,PK.40.30.B
walkway_C,19Dv29Y7vGQPOnCF_RhSPQ,IfcPavement,보행로 블록포장,200×200mm / 유효폭 2m,PK.40.30.C
walkway_D,0mPlDNkl1NYQPHTpc1fBtL,IfcPavement,보행로 블록포장,200×200mm / 유효폭 2m,PK.40.30.D
plaza_A,2RuwrdotDPRO4wT4PooqPW,IfcPavement,휴게공간 블록포장,200×200mm,PK.40.30.A
plaza_C,0qfwjhpMnKS8C9ETlQ6DvM,IfcPavement,휴게공간 블록포장,200×200mm,PK.40.30.C
plaza_D,3xEp6uVh9G9RMOhLExLruZ,IfcPavement,휴게공간 블록포장,200×200mm,PK.40.30.D
lawn_A,2TMfXTxhXNLvV7tqJ$0KgI,IfcGeographicElement,잔디,평떼 300×300mm / 전면 붙임,PK.50.50.A
lawn_B,3DQ93yPh9H9gS6aKs3R_3F,IfcGeographicElement,잔디,평떼 300×300mm / 전면 붙임,PK.50.50.B
lawn_C,1p635B579Ue8dBXvP_ghrm,IfcGeographicElement,잔디,평떼 300×300mm / 전면 붙임,PK.50.50.C
lawn_D,30SBC5WpHJ3vOz9iiaguLl,IfcGeographicElement,잔디,평떼 300×300mm / 전면 붙임,PK.50.50.D
shrub_A,2mofXfJPLR3A3TC$sO0JuJ,IfcGeographicElement,관목 식재지,,PK.50.20.A
shrub_B,1TDXd0_SnQ5RCqmS8RbvCO,IfcGeographicElement,관목 식재지,,PK.50.20.B
shrub_C,0u6PcUk4bRlxGZvc3a_Wfe,IfcGeographicElement,관목 식재지,,PK.50.20.C
