object_id,ifc_guid,category,ifc_class,predefined_type,effective_type,object_type,old_schedule_zone,proposed_zones,quantity_role
ZONE_A,05s0DvC$jRV929XyJ91g6F,WORK_ZONE_R1,IfcSpatialZone,CONSTRUCTION,CONSTRUCTION,zone,A,,REFERENCE_ONLY
ZONE_B,2x_36Mv31GngMSBAisIBtD,WORK_ZONE_R1,IfcSpatialZone,CONSTRUCTION,CONSTRUCTION,zone,B,,REFERENCE_ONLY
ZONE_C,0q2_uZzdrVsxsTXBPSE5Qa,WORK_ZONE_R1,IfcSpatialZone,CONSTRUCTION,CONSTRUCTION,zone,C,,REFERENCE_ONLY
ZONE_D,3$1Stc6JfRHQZHDbAILU6L,WORK_ZONE_R1,IfcSpatialZone,CONSTRUCTION,CONSTRUCTION,zone,D,,REFERENCE_ONLY
walkway_A,3q3q0DWtjTh8ZN5wMJC4TJ,PAVING_WALKWAY,IfcPavement,FLEXIBLE,FLEXIBLE,,A,A,PHYSICAL_DESIGN
walkway_B,2uUU441FzPTQzrtbwPLFUK,PAVING_WALKWAY,IfcPavement,FLEXIBLE,FLEXIBLE,,B,"A,B,D",PHYSICAL_DESIGN
walkway_C,19Dv29Y7vGQPOnCF_RhSPQ,PAVING_WALKWAY,IfcPavement,FLEXIBLE,FLEXIBLE,,C,"A,C",PHYSICAL_DESIGN
walkway_D,0mPlDNkl1NYQPHTpc1fBtL,PAVING_WALKWAY,IfcPavement,FLEXIBLE,FLEXIBLE,,D,"C,D",PHYSICAL_DESIGN
plaza_A,2RuwrdotDPRO4wT4PooqPW,PAVING_POCKET,IfcPavement,FLEXIBLE,FLEXIBLE,,A,A,PHYSICAL_DESIGN
plaza_C,0qfwjhpMnKS8C9ETlQ6DvM,PAVING_POCKET,IfcPavement,FLEXIBLE,FLEXIBLE,,C,C,PHYSICAL_DESIGN
plaza_D,3xEp6uVh9G9RMOhLExLruZ,PAVING_POCKET,IfcPavement,FLEXIBLE,FLEXIBLE,,D,"C,D",PHYSICAL_DESIGN
lawn_A,2TMfXTxhXNLvV7tqJ$0KgI,LAWN,IfcGeographicElement,VEGETATION,VEGETATION,,A,"A,B,C",AREA_ONLY_NO_ADDITIONAL_PLANT_COUNT
lawn_B,3DQ93yPh9H9gS6aKs3R_3F,LAWN,IfcGeographicElement,VEGETATION,VEGETATION,,B,"A,B,D",AREA_ONLY_NO_ADDITIONAL_PLANT_COUNT
lawn_C,1p635B579Ue8dBXvP_ghrm,LAWN,IfcGeographicElement,VEGETATION,VEGETATION,,C,"A,C",AREA_ONLY_NO_ADDITIONAL_PLANT_COUNT
lawn_D,30SBC5WpHJ3vOz9iiaguLl,LAWN,IfcGeographicElement,VEGETATION,VEGETATION,,D,"A,B,C,D",AREA_ONLY_NO_ADDITIONAL_PLANT_COUNT
shrub_A,2mofXfJPLR3A3TC$sO0JuJ,SHRUB_BED_AREA,IfcGeographicElement,VEGETATION,VEGETATION,,A,"A,B,C",AREA_ONLY_NO_ADDITIONAL_PLANT_COUNT
shrub_B,1TDXd0_SnQ5RCqmS8RbvCO,SHRUB_BED_AREA,IfcGeographicElement,VEGETATION,VEGETATION,,B,B,AREA_ONLY_NO_ADDITIONAL_PLANT_COUNT
shrub_C,0u6PcUk4bRlxGZvc3a_Wfe,SHRUB_BED_AREA,IfcGeographicElement,VEGETATION,VEGETATION,,C,C,AREA_ONLY_NO_ADDITIONAL_PLANT_COUNT
shrub_D,25sRKXEljG6gNF8O0rabTH,SHRUB_BED_AREA,IfcGeographicElement,VEGETATION,VEGETATION,,D,"B,D",AREA_ONLY_NO_ADDITIONAL_PLANT_COUNT
green_A,3Rtnkwg4bP8Rx7PpzPFj5M,MULCH,IfcCovering,USERDEFINED,MULCH,MULCH,A,"A,B",PHYSICAL_DESIGN
green_B,3K6pWDCm1KuRkDLYGXyhSh,MULCH,IfcCovering,USERDEFINED,MULCH,MULCH,B,B,PHYSICAL_DESIGN
green_C,0xSKiI1HfMM9XaOKMx74R6,MULCH,IfcCovering,USERDEFINED,MULCH,MULCH,C,C,PHYSICAL_DESIGN
green_D,22geK9FJnQrBvkSa8mSioj,MULCH,IfcCovering,USERDEFINED,MULCH,MULCH,D,"B,D",PHYSICAL_DESIGN
P2_N01,32o20Yq$fIu8Fbxd4ku08H,TREE,IfcGeographicElement,VEGETATION,VEGETATION,,C,C,INDIVIDUAL_PLANT_COUNT
P2_N02,32fq$v0WDOxPZsBdaKmGKv,TREE,IfcGeographicElement,VEGETATION,VEGETATION,,A,B,INDIVIDUAL_PLANT_COUNT
