predecessor_task_id,successor_task_id,predecessor_wbs,successor_wbs,relation,lag_hours
SITE_strip,SITE_grade,PK.10.10.SITE,PK.10.20.SITE,FINISH_START,0
SITE_grade,SITE_survey,PK.10.20.SITE,PK.20.05.SITE,FINISH_START,0
SITE_survey,A_trench,PK.20.05.SITE,PK.20.10.A,FINISH_START,0
SITE_survey,B_trench,PK.20.05.SITE,PK.20.10.B,FINISH_START,0
SITE_survey,C_trench,PK.20.05.SITE,PK.20.10.C,FINISH_START,0
SITE_survey,D_trench,PK.20.05.SITE,PK.20.10.D,FINISH_START,0
A_trench,SITE_drainage,PK.20.10.A,PK.20.30.SITE,FINISH_START,0
B_trench,SITE_drainage,PK.20.10.B,PK.20.30.SITE,FINISH_START,0
C_trench,SITE_drainage,PK.20.10.C,PK.20.30.SITE,FINISH_START,0
D_trench,SITE_drainage,PK.20.10.D,PK.20.30.SITE,FINISH_START,0
SITE_drainage,SITE_draincheck,PK.20.30.SITE,PK.20.40.SITE,FINISH_START,0
SITE_draincheck,A_backfill,PK.20.40.SITE,PK.20.50.A,FINISH_START,0
SITE_draincheck,B_backfill,PK.20.40.SITE,PK.20.50.B,FINISH_START,0
SITE_draincheck,C_backfill,PK.20.40.SITE,PK.20.50.C,FINISH_START,0
SITE_draincheck,D_backfill,PK.20.40.SITE,PK.20.50.D,FINISH_START,0
A_backfill,A_foundation,PK.20.50.A,PK.30.10.A,FINISH_START,0
C_backfill,C_foundation,PK.20.50.C,PK.30.10.C,FINISH_START,0
D_backfill,D_foundation,PK.20.50.D,PK.30.10.D,FINISH_START,0
A_backfill,A_curb,PK.20.50.A,PK.30.20.A,FINISH_START,0
A_foundation,A_curb,PK.30.10.A,PK.30.20.A,FINISH_START,0
B_backfill,B_curb,PK.20.50.B,PK.30.20.B,FINISH_START,0
C_backfill,C_curb,PK.20.50.C,PK.30.20.C,FINISH_START,0
C_foundation,C_curb,PK.30.10.C,PK.30.20.C,FINISH_START,0
D_backfill,D_curb,PK.20.50.D,PK.30.20.D,FINISH_START,0
D_foundation,D_curb,PK.30.10.D,PK.30.20.D,FINISH_START,0
A_curb,A_subbase,PK.30.20.A,PK.40.10.A,FINISH_START,0
