wbs_code,parent_code,name,level,node_role,task_guid
PK,,소공원 조성공사,0,SUMMARY,3ylE8grxvR1PCBEoNT3TUy
PK.10,PK,표토·일반토공,1,SUMMARY,37lEz6LtzMpfFRfoX$mhe$
PK.10.10,PK.10,표토 제거,2,SUMMARY,3arIVJBxjKB84ZXVwwTSyz
PK.10.10.SITE,PK.10.10,표토 제거 / 전체,3,LEAF,0wh5VStxDOpRBQl4$02gXs
PK.10.20,PK.10,일반토공·정지,2,SUMMARY,2ufu0b8lvH9uRja$yBjmxU
PK.10.20.SITE,PK.10.20,일반토공·정지 / 전체,3,LEAF,2Qw50kcy1Qd8IPt09I0Com
PK.20,PK,우배수공,1,SUMMARY,3WwPj0HQTQK9lJFGk2mqXD
PK.20.05,PK.20,배수 기준고·관저고 측량,2,SUMMARY,0myFYqlODRfRcnD7Ddnxff
PK.20.05.SITE,PK.20.05,배수 기준고·관저고 측량 / 전체,3,LEAF,3VwCg$IGbHHgVNMMSF_X$y
PK.20.10,PK.20,관로·집수정 굴착,2,SUMMARY,0jE9xv1q9U880Po3kMkAx5
PK.20.10.A,PK.20.10,관로·집수정 굴착 / A구역,3,LEAF,1awomNFVnRZwldlF77MUPX
PK.20.10.B,PK.20.10,관로·집수정 굴착 / B구역,3,LEAF,3VQFKE61PQGAfmUUqZompD
PK.20.10.C,PK.20.10,관로·집수정 굴착 / C구역,3,LEAF,3nDxESg1nV2esLD9_Z00Ou
PK.20.10.D,PK.20.10,관로·집수정 굴착 / D구역,3,LEAF,3OJwMFDGDPRRu_rQF61JFL
PK.20.30,PK.20,집수정·우수관 연계 시공,2,SUMMARY,0c5J9w2V9Uye1s3nmqttZR
PK.20.30.SITE,PK.20.30,집수정·우수관 연계 시공 / 전체,3,LEAF,1QNME35wzTeRhIdKsqH3PQ
PK.20.40,PK.20,관망 전체 관저고·구배 검사,2,SUMMARY,2vYXPlHaLR0wsZ2lDKY$az
PK.20.40.SITE,PK.20.40,관망 전체 관저고·구배 검사 / 전체,3,LEAF,3NBhirqOPNgO5G87SYJ2x7
PK.20.50,PK.20,되메우기·다짐,2,SUMMARY,3ElHJIJRPLW8SO6V3ShThZ
PK.20.50.A,PK.20.50,되메우기·다짐 / A구역,3,LEAF,3TE4OM_MnK6egz$zYtXsmN
PK.20.50.B,PK.20.50,되메우기·다짐 / B구역,3,LEAF,13T0myAS9R8wqFPwu8ct82
PK.20.50.C,PK.20.50,되메우기·다짐 / C구역,3,LEAF,1r0fUENpbL7O6nViXdNDBw
PK.20.50.D,PK.20.50,되메우기·다짐 / D구역,3,LEAF,2RyHpbymTUXgigqCmoLPK4
PK.30,PK,시설기초·경계석,1,SUMMARY,3QNkcIDHnQev68GscMYHxr
PK.30.10,PK.30,휴게시설 기초,2,SUMMARY,2rQkDEcdDNfQ3uLtfdxDHj
PK.30.10.A,PK.30.10,휴게시설 기초 / A구역,3,LEAF,1BmVQr1c5M_gfXjzhM7L$0
PK.30.10.C,PK.30.10,휴게시설 기초 / C구역,3,LEAF,3MzvogOPfP49hPGElBmD2e
PK.30.10.D,PK.30.10,휴게시설 기초 / D구역,3,LEAF,3eeK9C23XMD84XUyOI3f1f
PK.30.20,PK.30,화강석 경계석 설치,2,SUMMARY,2FJnGqMUTTnvhijDAApPIo
PK.30.20.A,PK.30.20,화강석 경계석 설치 / A구역,3,LEAF,3joyYSC8HKEPbgAZ4qajEA
PK.30.20.B,PK.30.20,화강석 경계석 설치 / B구역,3,LEAF,3S9A7ncEzPFhZ7Ppmow_zB
PK.30.20.C,PK.30.20,화강석 경계석 설치 / C구역,3,LEAF,0$9KHyMNTPFwSkfydDXBB$
PK.30.20.D,PK.30.20,화강석 경계석 설치 / D구역,3,LEAF,0DGSQDY45Gceiff83hevpq
PK.40,PK,포장공,1,SUMMARY,2sb7_PbjPIah74fmhxV4eh
PK.40.10,PK.40,쇄석 포장기층,2,SUMMARY,0O$JvKOw5QvRnDnDkxlv3B
PK.40.10.A,PK.40.10,쇄석 포장기층 / A구역,3,LEAF,0f3W6sURTVEen7o62Sslid
PK.40.10.B,PK.40.10,쇄석 포장기층 / B구역,3,LEAF,0YMNSLFZLNwOb8tVCDs4aE
PK.40.10.C,PK.40.10,쇄석 포장기층 / C구역,3,LEAF,28ZYQISCHUhR9PyPT7JVT2
PK.40.10.D,PK.40.10,쇄석 포장기층 / D구역,3,LEAF,3v5$yVh5XHqRQZyLa758Ke
PK.40.20,PK.40,포장 기층 검사,2,SUMMARY,38OdCR5NjOex0miVasiBXU
PK.40.20.A,PK.40.20,포장 기층 검사 / A구역,3,LEAF,1tCdFKdqzKCBAYvGGCw_gZ
PK.40.20.B,PK.40.20,포장 기층 검사 / B구역,3,LEAF,0wE8rrGgXG193rmP_zS3MK
PK.40.20.C,PK.40.20,포장 기층 검사 / C구역,3,LEAF,3tcJijSsfR58MsDa6mzsFa
