object_id,object_guid,task_id,task_guid,wbs_code,task_name,role,ifc_relation
ZONE_A,05s0DvC$jRV929XyJ91g6F,A_trench,1awomNFVnRZwldlF77MUPX,PK.20.10.A,관로·집수정 굴착 / A구역,INPUT,IfcRelAssignsToProcess
ZONE_A,05s0DvC$jRV929XyJ91g6F,A_trench,1awomNFVnRZwldlF77MUPX,PK.20.10.A,관로·집수정 굴착 / A구역,SCOPE,LCS_WBS.ScopeObjectIds
ZONE_A,05s0DvC$jRV929XyJ91g6F,A_backfill,3TE4OM_MnK6egz$zYtXsmN,PK.20.50.A,되메우기·다짐 / A구역,INPUT,IfcRelAssignsToProcess
ZONE_A,05s0DvC$jRV929XyJ91g6F,A_backfill,3TE4OM_MnK6egz$zYtXsmN,PK.20.50.A,되메우기·다짐 / A구역,SCOPE,LCS_WBS.ScopeObjectIds
BENCH03,0DO7eAO81PzRAdZDBjckEm,A_foundation,1BmVQr1c5M_gfXjzhM7L$0,PK.30.10.A,휴게시설 기초 / A구역,INPUT,IfcRelAssignsToProcess
BENCH04,0DcAGz_D9K3vbTlhvIdvjx,A_foundation,1BmVQr1c5M_gfXjzhM7L$0,PK.30.10.A,휴게시설 기초 / A구역,INPUT,IfcRelAssignsToProcess
BENCH05,1kBOWpIzDQ7fM7xMqFX7sb,A_foundation,1BmVQr1c5M_gfXjzhM7L$0,PK.30.10.A,휴게시설 기초 / A구역,INPUT,IfcRelAssignsToProcess
ZONE_A,05s0DvC$jRV929XyJ91g6F,A_foundation,1BmVQr1c5M_gfXjzhM7L$0,PK.30.10.A,휴게시설 기초 / A구역,SCOPE,LCS_WBS.ScopeObjectIds
shrub_A,2mofXfJPLR3A3TC$sO0JuJ,A_soil,3dyUbdsNrVCwHVzxa3$Rzk,PK.50.20.A,식재기반 정비 / A구역,OUTPUT,IfcRelAssignsToProduct
green_A,3Rtnkwg4bP8Rx7PpzPFj5M,A_soil,3dyUbdsNrVCwHVzxa3$Rzk,PK.50.20.A,식재기반 정비 / A구역,INPUT,IfcRelAssignsToProcess
lawn_A,2TMfXTxhXNLvV7tqJ$0KgI,A_soil,3dyUbdsNrVCwHVzxa3$Rzk,PK.50.20.A,식재기반 정비 / A구역,INPUT,IfcRelAssignsToProcess
ZONE_A,05s0DvC$jRV929XyJ91g6F,A_soil,3dyUbdsNrVCwHVzxa3$Rzk,PK.50.20.A,식재기반 정비 / A구역,SCOPE,LCS_WBS.ScopeObjectIds
P2_D02,02lVwwMzvLIBNFnth4sQVM,A_trees,0So0jbh9rNau6qaei8hHvw,PK.50.30.A,교목 식재(구덩이 포함) / A구역,OUTPUT,IfcRelAssignsToProduct
P2_I04,3VXnKSS4HHDg0dcHjSWwyv,A_trees,0So0jbh9rNau6qaei8hHvw,PK.50.30.A,교목 식재(구덩이 포함) / A구역,OUTPUT,IfcRelAssignsToProduct
P2_I07,3gv7DXWyvUxOSt8FJ_jBfG,A_trees,0So0jbh9rNau6qaei8hHvw,PK.50.30.A,교목 식재(구덩이 포함) / A구역,OUTPUT,IfcRelAssignsToProduct
P2_N02,32fq$v0WDOxPZsBdaKmGKv,A_trees,0So0jbh9rNau6qaei8hHvw,PK.50.30.A,교목 식재(구덩이 포함) / A구역,OUTPUT,IfcRelAssignsToProduct
ZONE_A,05s0DvC$jRV929XyJ91g6F,A_trees,0So0jbh9rNau6qaei8hHvw,PK.50.30.A,교목 식재(구덩이 포함) / A구역,SCOPE,LCS_WBS.ScopeObjectIds
CURB_A,1RAc42_8DO$vCGbKZAOVsl,A_curb,3joyYSC8HKEPbgAZ4qajEA,PK.30.20.A,화강석 경계석 설치 / A구역,OUTPUT,IfcRelAssignsToProduct
ZONE_A,05s0DvC$jRV929XyJ91g6F,A_curb,3joyYSC8HKEPbgAZ4qajEA,PK.30.20.A,화강석 경계석 설치 / A구역,SCOPE,LCS_WBS.ScopeObjectIds
plaza_A,2RuwrdotDPRO4wT4PooqPW,A_subbase,0f3W6sURTVEen7o62Sslid,PK.40.10.A,쇄석 포장기층 / A구역,INPUT,IfcRelAssignsToProcess
walkway_A,3q3q0DWtjTh8ZN5wMJC4TJ,A_subbase,0f3W6sURTVEen7o62Sslid,PK.40.10.A,쇄석 포장기층 / A구역,INPUT,IfcRelAssignsToProcess
