object_id,ifc_guid,kind,category,name,specification,quantity,unit,zone,inventory_role,primary_wbs,wbs_codes,task_ids,task_count,library_global_id,quantity_note
ZONE_A,05s0DvC$jRV929XyJ91g6F,zone,공사구역,공사구역,,0,,A,WORK_SCOPE,PK.20.10.A,"[""PK.20.10.A"", ""PK.20.50.A"", ""PK.30.10.A"", ""PK.30.20.A"", ""PK.40.10.A"", ""PK.40.20.A"", ""PK.40.30.A"", ""PK.50.20.A"", ""PK.50.30.A"", ""PK.50.40.A"", ""PK.50.50.A"", ""PK.50.60.A"", ""PK.60.10.A"", ""PK.70.10.A""]","[""A_backfill"", ""A_bench"", ""A_check"", ""A_curb"", ""A_finish"", ""A_foundation"", ""A_mulch"", ""A_pavecheck"", ""A_shrubs"", ""A_soil"", ""A_subbase"", ""A_trees"", ""A_trench"", ""A_turf""]",14,,
ZONE_B,2x_36Mv31GngMSBAisIBtD,zone,공사구역,공사구역,,0,,B,WORK_SCOPE,PK.20.10.B,"[""PK.20.10.B"", ""PK.20.50.B"", ""PK.30.20.B"", ""PK.40.10.B"", ""PK.40.20.B"", ""PK.40.30.B"", ""PK.50.20.B"", ""PK.50.30.B"", ""PK.50.40.B"", ""PK.50.50.B"", ""PK.50.60.B"", ""PK.70.10.B""]","[""B_backfill"", ""B_check"", ""B_curb"", ""B_finish"", ""B_mulch"", ""B_pavecheck"", ""B_shrubs"", ""B_soil"", ""B_subbase"", ""B_trees"", ""B_trench"", ""B_turf""]",12,,
ZONE_C,0q2_uZzdrVsxsTXBPSE5Qa,zone,공사구역,공사구역,,0,,C,WORK_SCOPE,PK.20.10.C,"[""PK.20.10.C"", ""PK.20.50.C"", ""PK.30.10.C"", ""PK.30.20.C"", ""PK.40.10.C"", ""PK.40.20.C"", ""PK.40.30.C"", ""PK.50.20.C"", ""PK.50.30.C"", ""PK.50.40.C"", ""PK.50.50.C"", ""PK.50.60.C"", ""PK.60.10.C"", ""PK.70.10.C""]","[""C_backfill"", ""C_bench"", ""C_check"", ""C_curb"", ""C_finish"", ""C_foundation"", ""C_mulch"", ""C_pavecheck"", ""C_shrubs"", ""C_soil"", ""C_subbase"", ""C_trees"", ""C_trench"", ""C_turf""]",14,,
ZONE_D,3$1Stc6JfRHQZHDbAILU6L,zone,공사구역,공사구역,,0,,D,WORK_SCOPE,PK.20.10.D,"[""PK.20.10.D"", ""PK.20.50.D"", ""PK.30.10.D"", ""PK.30.20.D"", ""PK.40.10.D"", ""PK.40.20.D"", ""PK.40.30.D"", ""PK.50.20.D"", ""PK.50.30.D"", ""PK.50.40.D"", ""PK.50.50.D"", ""PK.50.60.D"", ""PK.60.10.D"", ""PK.60.20.D"", ""PK.70.10.D""]","[""D_backfill"", ""D_bench"", ""D_check"", ""D_curb"", ""D_finish"", ""D_foundation"", ""D_mulch"", ""D_pavecheck"", ""D_pergola"", ""D_shrubs"", ""D_soil"", ""D_subbase"", ""D_trees"", ""D_trench"", ""D_turf""]",15,,
walkway_A,3q3q0DWtjTh8ZN5wMJC4TJ,walkway,보행로 블록포장,보행로 블록포장,200×200mm / 유효폭 2m,50.0,m2,A,NEW,PK.40.30.A,"[""PK.40.10.A"", ""PK.40.20.A"", ""PK.40.30.A"", ""PK.70.10.A""]","[""A_check"", ""A_finish"", ""A_pavecheck"", ""A_subbase""]",4,,
walkway_B,2uUU441FzPTQzrtbwPLFUK,walkway,보행로 블록포장,보행로 블록포장,200×200mm / 유효폭 2m,50.0,m2,B,NEW,PK.40.30.B,"[""PK.40.10.B"", ""PK.40.20.B"", ""PK.40.30.B"", ""PK.70.10.B""]","[""B_check"", ""B_finish"", ""B_pavecheck"", ""B_subbase""]",4,,
walkway_C,19Dv29Y7vGQPOnCF_RhSPQ,walkway,보행로 블록포장,보행로 블록포장,200×200mm / 유효폭 2m,60.0,m2,C,NEW,PK.40.30.C,"[""PK.40.10.C"", ""PK.40.20.C"", ""PK.40.30.C"", ""PK.70.10.C""]","[""C_check"", ""C_finish"", ""C_pavecheck"", ""C_subbase""]",4,,
walkway_D,0mPlDNkl1NYQPHTpc1fBtL,walkway,보행로 블록포장,보행로 블록포장,200×200mm / 유효폭 2m,60.0,m2,D,NEW,PK.40.30.D,"[""PK.40.10.D"", ""PK.40.20.D"", ""PK.40.30.D"", ""PK.70.10.D""]","[""D_check"", ""D_finish"", ""D_pavecheck"", ""D_subbase""]",4,,
plaza_A,2RuwrdotDPRO4wT4PooqPW,plaza,휴게공간 블록포장,휴게공간 블록포장,200×200mm,30.0,m2,A,NEW,PK.40.30.A,"[""PK.40.10.A"", ""PK.40.20.A"", ""PK.40.30.A"", ""PK.70.10.A""]","[""A_check"", ""A_finish"", ""A_pavecheck"", ""A_subbase""]",4,,
plaza_C,0qfwjhpMnKS8C9ETlQ6DvM,plaza,휴게공간 블록포장,휴게공간 블록포장,200×200mm,36.0,m2,C,NEW,PK.40.30.C,"[""PK.40.10.C"", ""PK.40.20.C"", ""PK.40.30.C"", ""PK.70.10.C""]","[""C_check"", ""C_finish"", ""C_pavecheck"", ""C_subbase""]",4,,
