case_id,label,scenario,days,fingerprint,audit_errors
P0,기본 자원,deterministic,56.056408060922955,46785efe8415be54fe933f8094cc4cd2959279a5d6286224cfee8517ac21fc93,0
P0,기본 자원,61000,72.10834076213935,b002766a93fa14c65ec0e92a679620ac6601388c8b8f32ccaecfc92b197cf95b,0
P0,기본 자원,61001,67.03611712865852,0f6d1536e16caf8244d0464ead99655ddac668ddd784a225b89f2aa5154d0ee6,0
P0,기본 자원,61002,73.15549313860765,eb5a5775011bacbe763fecfb8966a0d08d1c1a2887e1178eac7450adf2d7e193,0
P0,기본 자원,61003,56.043162438814335,8b255d3074860946241d6f83a5c58a73d70c8721b3c7fbbf8bf5a4e51ccf6f4b,0
P0,기본 자원,61004,58.08862833640911,d03d34f81e2b90635540cd913d97cf3d081ace3f18172ad2b5f2df075d164649,0
P0,기본 자원,61005,65.2780314906035,24aa6ea575ba0a32a01d1172dfa7580bb10b4cb31e9cc3a0ce0d65ed04f2e1ab,0
P0,기본 자원,61006,71.048515333625,5f735e60b3ec4bd2594d2ed4b814e698f6f7e053123c77bd49af8c9030cfb155,0
P0,기본 자원,61007,45.149097365235995,98cecd5ecfff55bab4b3e489e94c2c9553cd346c585e09b3a15659ea78581f92,0
P1,굴삭기만 2대,deterministic,52.024690231509645,46785efe8415be54fe933f8094cc4cd2959279a5d6286224cfee8517ac21fc93,0
P1,굴삭기만 2대,61000,67.3456123512493,b002766a93fa14c65ec0e92a679620ac6601388c8b8f32ccaecfc92b197cf95b,0
P1,굴삭기만 2대,61001,64.0528818895863,0f6d1536e16caf8244d0464ead99655ddac668ddd784a225b89f2aa5154d0ee6,0
P1,굴삭기만 2대,61002,67.22334276365235,eb5a5775011bacbe763fecfb8966a0d08d1c1a2887e1178eac7450adf2d7e193,0
P1,굴삭기만 2대,61003,52.05738812363245,8b255d3074860946241d6f83a5c58a73d70c8721b3c7fbbf8bf5a4e51ccf6f4b,0
P1,굴삭기만 2대,61004,56.102490887882944,d03d34f81e2b90635540cd913d97cf3d081ace3f18172ad2b5f2df075d164649,0
P1,굴삭기만 2대,61005,63.10010135459162,24aa6ea575ba0a32a01d1172dfa7580bb10b4cb31e9cc3a0ce0d65ed04f2e1ab,0
P1,굴삭기만 2대,61006,66.33325172226367,5f735e60b3ec4bd2594d2ed4b814e698f6f7e053123c77bd49af8c9030cfb155,0
P1,굴삭기만 2대,61007,43.29695415688281,98cecd5ecfff55bab4b3e489e94c2c9553cd346c585e09b3a15659ea78581f92,0
P2,토공반·굴삭기·차량 각 2,deterministic,51.12911779058327,46785efe8415be54fe933f8094cc4cd2959279a5d6286224cfee8517ac21fc93,0
P2,토공반·굴삭기·차량 각 2,61000,67.08656901114206,b002766a93fa14c65ec0e92a679620ac6601388c8b8f32ccaecfc92b197cf95b,0
P2,토공반·굴삭기·차량 각 2,61001,63.14445715211588,0f6d1536e16caf8244d0464ead99655ddac668ddd784a225b89f2aa5154d0ee6,0
P2,토공반·굴삭기·차량 각 2,61002,66.33211341759092,eb5a5775011bacbe763fecfb8966a0d08d1c1a2887e1178eac7450adf2d7e193,0
P2,토공반·굴삭기·차량 각 2,61003,50.23390823968762,8b255d3074860946241d6f83a5c58a73d70c8721b3c7fbbf8bf5a4e51ccf6f4b,0
P2,토공반·굴삭기·차량 각 2,61004,53.265215996565935,d03d34f81e2b90635540cd913d97cf3d081ace3f18172ad2b5f2df075d164649,0
P2,토공반·굴삭기·차량 각 2,61005,60.28009379065378,24aa6ea575ba0a32a01d1172dfa7580bb10b4cb31e9cc3a0ce0d65ed04f2e1ab,0
P2,토공반·굴삭기·차량 각 2,61006,66.05764957365018,5f735e60b3ec4bd2594d2ed4b814e698f6f7e053123c77bd49af8c9030cfb155,0
P2,토공반·굴삭기·차량 각 2,61007,43.07327339182806,98cecd5ecfff55bab4b3e489e94c2c9553cd346c585e09b3a15659ea78581f92,0
