mass_id,species,quantity,area_m2,actual_density,required_density,qualifies,applied_norm
B01,회양목,81,28.169146571162365,2.875486475792711,5,False,4-2-2 단식
Y01,영산홍,28,33.16200851648106,0.8443396902839703,2,False,4-2-2 단식
B02,회양목,100,32.274795561316175,3.0983929800583367,5,False,4-2-2 단식
Y02,영산홍,32,38.62945620023431,0.8283833930803794,2,False,4-2-2 단식
R01,산철쭉,47,37.50441283423987,1.2531858639602824,2,False,4-2-2 단식
Y03,영산홍,25,26.890005069713165,0.9297134729125833,2,False,4-2-2 단식
R02,산철쭉,37,32.14071634487058,1.1511877832151964,2,False,4-2-2 단식
Y04,영산홍,26,25.98811966044731,1.0004571450227224,2,False,4-2-2 단식
Y05,영산홍,48,38.86290922143752,1.2351108283350616,2,False,4-2-2 단식
S01,조팝나무,95,56.691945731537295,1.6757230462660277,5,False,4-2-2 단식
R03,산철쭉,76,64.7142187254781,1.1743941516530843,2,False,4-2-2 단식
S02,조팝나무,82,58.39970149093262,1.4041167661230538,5,False,4-2-2 단식
