task_id,task_guid,wbs_code,wbs_name,kcs_code,kcs_title,role,clauses,edition,revision_date,checked_on,source_url,application_note,status
SITE_strip,0wh5VStxDOpRBQl4$02gXs,PK.10.10.SITE,표토 제거 / 전체,KCS 34 20 10,조경 토공사,PRIMARY,3.4.1 표토 채취; 3.4.2 표토 보관,2024,2024-12-10,2026-09-25,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2020%2010%3A2024-12-10,표토 제거·분리 적치의 시공 및 품질 항목. 재사용 여부는 설계조건에 따른다.,MAPPED_NOT_COMPLIANCE_VERIFIED
SITE_strip,0wh5VStxDOpRBQl4$02gXs,PK.10.10.SITE,표토 제거 / 전체,KCS 34 10 10,조경공사 일반,RELATED,,2024,2024-12-10,2026-09-25,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2010%2010%3A2024-12-10,,MAPPED_NOT_COMPLIANCE_VERIFIED
SITE_grade,2Qw50kcy1Qd8IPt09I0Com,PK.10.20.SITE,일반토공·정지 / 전체,KCS 34 20 10,조경 토공사,PRIMARY,3.3 지형변경 및 대지조형; 3.5 시공허용오차; 3.6.3 다짐도 검사,2024,2024-12-10,2026-09-25,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2020%2010%3A2024-12-10,전면 정지와 계획고·다짐 관리. 측량값·다짐 시험 성적은 현재 없다.,MAPPED_NOT_COMPLIANCE_VERIFIED
SITE_grade,2Qw50kcy1Qd8IPt09I0Com,PK.10.20.SITE,일반토공·정지 / 전체,KCS 34 10 10,조경공사 일반,RELATED,,2024,2024-12-10,2026-09-25,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2010%2010%3A2024-12-10,,MAPPED_NOT_COMPLIANCE_VERIFIED
SITE_grade,2Qw50kcy1Qd8IPt09I0Com,PK.10.20.SITE,일반토공·정지 / 전체,KCS 34 30 10,식재기반 조성,RELATED,,2024,2024-12-10,2026-09-25,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2030%2010%3A2024-12-10,,MAPPED_NOT_COMPLIANCE_VERIFIED
SITE_survey,3VwCg$IGbHHgVNMMSF_X$y,PK.20.05.SITE,배수 기준고·관저고 측량 / 전체,KCS 34 50 65,조경 급․배수 및 관수,PRIMARY,3.1.10 배수관 설치; 3.3.1 배수공사,2024,2024-12-10,2026-09-25,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2050%2065%3A2024-12-10,관저고·구배 기준 설정에 관련되는 시공 항목. 독립 측량작업 자체의 전용 시방코드는 아니다.,MAPPED_NOT_COMPLIANCE_VERIFIED
SITE_survey,3VwCg$IGbHHgVNMMSF_X$y,PK.20.05.SITE,배수 기준고·관저고 측량 / 전체,KCS 34 20 10,조경 토공사,RELATED,,2024,2024-12-10,2026-09-25,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2020%2010%3A2024-12-10,,MAPPED_NOT_COMPLIANCE_VERIFIED
SITE_survey,3VwCg$IGbHHgVNMMSF_X$y,PK.20.05.SITE,배수 기준고·관저고 측량 / 전체,KCS 34 10 10,조경공사 일반,RELATED,,2024,2024-12-10,2026-09-25,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2010%2010%3A2024-12-10,,MAPPED_NOT_COMPLIANCE_VERIFIED
A_trench,1awomNFVnRZwldlF77MUPX,PK.20.10.A,관로·집수정 굴착 / A구역,KCS 34 20 10,조경 토공사,PRIMARY,3.2.1 준비배수; 3.3.1 땅깎기,2024,2024-12-10,2026-09-25,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2020%2010%3A2024-12-10,관로·집수정 굴착의 토공 기준. 흙막이 등은 지반·굴착 상세 확정 후 추가 검토한다.,MAPPED_NOT_COMPLIANCE_VERIFIED
A_trench,1awomNFVnRZwldlF77MUPX,PK.20.10.A,관로·집수정 굴착 / A구역,KCS 34 50 65,조경 급․배수 및 관수,RELATED,,2024,2024-12-10,2026-09-25,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2050%2065%3A2024-12-10,,MAPPED_NOT_COMPLIANCE_VERIFIED
