wbs_code,wbs_name,task_id,task_guid,parent_wbs_code,ifc_predefined_type,zone_id,work_zones,quantity,unit,productivity,required_resource_bundle,norm_work_hours,planned_net_work_hours,planned_8h_crew_days,setup_hours,travel_allowance_hours,norm_status,norm_references,norm_breakdown,equipment_requirement,included_work,predecessors,predecessor_lags,input_object_ids,output_object_ids,scope_object_ids,legacy_priority_code,kcs_primary,kcs_title,kcs_edition,kcs_revision_date,kcs_clauses,kcs_related,kcs_note,kcs_status,kcs_url
PK.10.10.SITE,표토 제거 / 전체,SITE_strip,0wh5VStxDOpRBQl4$02gXs,PK.10.10,CONSTRUCTION,SITE,"[""A"", ""B"", ""C"", ""D""]",300.0,m3,12,"{""earth_crew"": 1, ""excavator"": 1, ""truck"": 1}",,25.0,3.125,0.2,0.1,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,기존 작업 범위; 세부 내역은 검토서 참조,[],{},"[""TERRAIN""]",[],"[""TERRAIN""]",10,KCS 34 20 10,조경 토공사,2024,2024-12-10,3.4.1 표토 채취; 3.4.2 표토 보관,"[""KCS 34 10 10""]",표토 제거·분리 적치의 시공 및 품질 항목. 재사용 여부는 설계조건에 따른다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2020%2010%3A2024-12-10
PK.10.20.SITE,일반토공·정지 / 전체,SITE_grade,2Qw50kcy1Qd8IPt09I0Com,PK.10.20,CONSTRUCTION,SITE,"[""A"", ""B"", ""C"", ""D""]",193.693239225132,m3,10,"{""earth_crew"": 1, ""excavator"": 1, ""truck"": 1}",,19.3693239225132,2.42116549031415,0.2,0.1,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,기존 작업 범위; 세부 내역은 검토서 참조,"[""SITE_strip""]","{""SITE_strip"": 0}","[""TERRAIN""]",[],"[""TERRAIN""]",11,KCS 34 20 10,조경 토공사,2024,2024-12-10,3.3 지형변경 및 대지조형; 3.5 시공허용오차; 3.6.3 다짐도 검사,"[""KCS 34 10 10"", ""KCS 34 30 10""]",전면 정지와 계획고·다짐 관리. 측량값·다짐 시험 성적은 현재 없다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2020%2010%3A2024-12-10
PK.20.05.SITE,배수 기준고·관저고 측량 / 전체,SITE_survey,3VwCg$IGbHHgVNMMSF_X$y,PK.20.05,INSPECTION,SITE,"[""A"", ""B"", ""C"", ""D""]",1,ea,0.25,"{""inspector"": 1, ""earth_crew"": 1}",,4.0,0.5,0.2,0.1,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,전 부지정지 후 가상 TBM·방류구·집수정 관저고 및 관로 구배 확인. 4시간 가정.,"[""SITE_grade""]","{""SITE_grade"": 0}","[""CHAMBER_A"", ""CHAMBER_B"", ""CHAMBER_C"", ""CHAMBER_D"", ""PIPE_A"", ""PIPE_B"", ""PIPE_C"", ""PIPE_D""]",[],"[""TERRAIN""]",19,KCS 34 50 65,조경 급․배수 및 관수,2024,2024-12-10,3.1.10 배수관 설치; 3.3.1 배수공사,"[""KCS 34 20 10"", ""KCS 34 10 10""]",관저고·구배 기준 설정에 관련되는 시공 항목. 독립 측량작업 자체의 전용 시방코드는 아니다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2050%2065%3A2024-12-10
PK.20.10.A,관로·집수정 굴착 / A구역,A_trench,1awomNFVnRZwldlF77MUPX,PK.20.10,CONSTRUCTION,A,"[""A""]",4.3625,m3,4,"{""earth_crew"": 1, ""excavator"": 1, ""truck"": 1}",,1.090625,0.136328125,0.2,0.15,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,기존 작업 범위; 세부 내역은 검토서 참조,"[""SITE_survey""]","{""SITE_survey"": 0}","[""ZONE_A""]",[],"[""ZONE_A""]",20,KCS 34 20 10,조경 토공사,2024,2024-12-10,3.2.1 준비배수; 3.3.1 땅깎기,"[""KCS 34 50 65""]",관로·집수정 굴착의 토공 기준. 흙막이 등은 지반·굴착 상세 확정 후 추가 검토한다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2020%2010%3A2024-12-10
PK.20.10.B,관로·집수정 굴착 / B구역,B_trench,3VQFKE61PQGAfmUUqZompD,PK.20.10,CONSTRUCTION,B,"[""B""]",8.75,m3,4,"{""earth_crew"": 1, ""excavator"": 1, ""truck"": 1}",,2.1875,0.2734375,0.2,0.15,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,기존 작업 범위; 세부 내역은 검토서 참조,"[""SITE_survey""]","{""SITE_survey"": 0}","[""ZONE_B""]",[],"[""ZONE_B""]",20,KCS 34 20 10,조경 토공사,2024,2024-12-10,3.2.1 준비배수; 3.3.1 땅깎기,"[""KCS 34 50 65""]",관로·집수정 굴착의 토공 기준. 흙막이 등은 지반·굴착 상세 확정 후 추가 검토한다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2020%2010%3A2024-12-10
PK.20.10.C,관로·집수정 굴착 / C구역,C_trench,3nDxESg1nV2esLD9_Z00Ou,PK.20.10,CONSTRUCTION,C,"[""C""]",4.3625,m3,4,"{""earth_crew"": 1, ""excavator"": 1, ""truck"": 1}",,1.090625,0.136328125,0.2,0.1,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,기존 작업 범위; 세부 내역은 검토서 참조,"[""SITE_survey""]","{""SITE_survey"": 0}","[""ZONE_C""]",[],"[""ZONE_C""]",20,KCS 34 20 10,조경 토공사,2024,2024-12-10,3.2.1 준비배수; 3.3.1 땅깎기,"[""KCS 34 50 65""]",관로·집수정 굴착의 토공 기준. 흙막이 등은 지반·굴착 상세 확정 후 추가 검토한다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2020%2010%3A2024-12-10
PK.20.10.D,관로·집수정 굴착 / D구역,D_trench,3OJwMFDGDPRRu_rQF61JFL,PK.20.10,CONSTRUCTION,D,"[""D""]",12.1625,m3,4,"{""earth_crew"": 1, ""excavator"": 1, ""truck"": 1}",,3.040625,0.380078125,0.2,0.1,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,기존 작업 범위; 세부 내역은 검토서 참조,"[""SITE_survey""]","{""SITE_survey"": 0}","[""ZONE_D""]",[],"[""ZONE_D""]",20,KCS 34 20 10,조경 토공사,2024,2024-12-10,3.2.1 준비배수; 3.3.1 땅깎기,"[""KCS 34 50 65""]",관로·집수정 굴착의 토공 기준. 흙막이 등은 지반·굴착 상세 확정 후 추가 검토한다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2020%2010%3A2024-12-10
PK.20.30.SITE,집수정·우수관 연계 시공 / 전체,SITE_drainage,1QNME35wzTeRhIdKsqH3PQ,PK.20.30,INSTALLATION,SITE,"[""A"", ""B"", ""C"", ""D""]",83,m,4.0291262135922326,"{""earth_crew"": 1, ""excavator"": 1, ""inspector"": 1}",,20.6,2.575,0.2,0.1,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,집수정 4개와 DN200 우수관 83m를 공통 기준고로 연계 시공. 레벨 담당 연속 배치. 작업조 20.6시간은 기존 관로 16.6시간+집수정 4시간 가정의 합계이며 품셈 확정값 아님.,"[""A_trench"", ""B_trench"", ""C_trench"", ""D_trench""]","{""A_trench"": 0, ""B_trench"": 0, ""C_trench"": 0, ""D_trench"": 0}","[""CHAMBER_A"", ""CHAMBER_B"", ""CHAMBER_C"", ""CHAMBER_D"", ""PIPE_A"", ""PIPE_B"", ""PIPE_C"", ""PIPE_D""]","[""CHAMBER_A"", ""CHAMBER_B"", ""CHAMBER_C"", ""CHAMBER_D"", ""PIPE_A"", ""PIPE_B"", ""PIPE_C"", ""PIPE_D""]","[""TERRAIN""]",22,KCS 34 50 65,조경 급․배수 및 관수,2024,2024-12-10,3.1.9 배수구조물; 3.1.10 배수관 설치; 3.3.1 배수공사,"[""KCS 34 50 05"", ""KCS 34 20 10""]",집수정 접속부·관 기초·하류부터 부설·관저고와 구배 확인. DN200과 매설깊이는 별도 설계 검증 대상이다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2050%2065%3A2024-12-10
PK.20.40.SITE,관망 전체 관저고·구배 검사 / 전체,SITE_draincheck,3NBhirqOPNgO5G87SYJ2x7,PK.20.40,INSPECTION,SITE,"[""A"", ""B"", ""C"", ""D""]",1,ea,0.5,"{""inspector"": 1}",,2.0,0.25,0.2,0.1,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,전체 관망 관저고·구배·접속부 확인 후 되메우기 승인. 2시간 가정.,"[""SITE_drainage""]","{""SITE_drainage"": 0}","[""CHAMBER_A"", ""CHAMBER_B"", ""CHAMBER_C"", ""CHAMBER_D"", ""PIPE_A"", ""PIPE_B"", ""PIPE_C"", ""PIPE_D""]",[],"[""TERRAIN""]",23,KCS 34 50 65,조경 급․배수 및 관수,2024,2024-12-10,3.3.1 배수공사; 1.8.1 관매설공사,"[""KCS 34 10 10""]",되메우기 전 관저고·접속부 검사에 연결. 1.8.1의 되메우기 후 수량검측·승인은 별도로 확인해야 한다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2050%2065%3A2024-12-10
PK.20.50.A,되메우기·다짐 / A구역,A_backfill,3TE4OM_MnK6egz$zYtXsmN,PK.20.50,CONSTRUCTION,A,"[""A""]",2.8943606533614172,m3,6,"{""earth_crew"": 1, ""excavator"": 1, ""truck"": 1}",,0.4823934422269029,0.06029918027836286,0.2,0.15,ASSUMED_NOT_VERIFIED,[],[],기존 합성모델 장비 가정,기존 작업 범위; 세부 내역은 검토서 참조,"[""SITE_draincheck""]","{""SITE_draincheck"": 0}","[""ZONE_A""]",[],"[""ZONE_A""]",24,KCS 34 20 10,조경 토공사,2024,2024-12-10,3.3.3 흙쌓기; 3.6.3 다짐도 검사,"[""KCS 34 50 65""]",관로 검사 후 되메우기·다짐. 매설 완료 후 접속부 확인·승인도 필요하다.,MAPPED_NOT_COMPLIANCE_VERIFIED,https://www.kcsc.re.kr/standardCode/viewer/KCS%2034%2020%2010%3A2024-12-10
