key,name,specification,quantity,unit,section,printed_page,pdf_page,daily_crew_output,crew_days,work_hours,workers,person_days,equipment,application_status,note,source
TREE_N,느티나무,H4.0 X R12,3,주,공통 4-3-5 교목식재(흉고직경/근원직경),96,152,12,0.25,2.0,"{""조경공"": 3, ""보통인부"": 1}","{""조경공"": 0.75, ""보통인부"": 0.25}",굴착기 0.4㎥ 1대,SPEC_MATCHED,근원직경 R의 괄호 규격으로 선택. 식재구덩이·되메우기·초기관수·지주목 설치 포함.,2026 건설공사 표준품셈 · 사용자 제공 1차 정오표 반영본
TREE_I,이팝나무,H4.0 X R15,7,주,공통 4-3-5 교목식재(흉고직경/근원직경),96,152,12,0.5833333333333334,4.666666666666667,"{""조경공"": 3, ""보통인부"": 1}","{""조경공"": 1.75, ""보통인부"": 0.5833333333333334}",굴착기 0.4㎥ 1대,SPEC_MATCHED,근원직경 R의 괄호 규격으로 선택. 식재구덩이·되메우기·초기관수·지주목 설치 포함.,2026 건설공사 표준품셈 · 사용자 제공 1차 정오표 반영본
TREE_D,산딸나무,H3.0 X R8,3,주,공통 4-3-5 교목식재(흉고직경/근원직경),96,152,22,0.13636363636363635,1.0909090909090908,"{""조경공"": 3, ""보통인부"": 1}","{""조경공"": 0.40909090909090906, ""보통인부"": 0.13636363636363635}",굴착기 0.4㎥ 1대,SPEC_MATCHED,근원직경 R의 괄호 규격으로 선택. 식재구덩이·되메우기·초기관수·지주목 설치 포함.,2026 건설공사 표준품셈 · 사용자 제공 1차 정오표 반영본
TREE_T,주목,H3.0 X W1.5,3,주,공통 4-3-4 교목식재(수고),96,152,30,0.1,0.8,"{""조경공"": 3, ""보통인부"": 1}","{""조경공"": 0.30000000000000004, ""보통인부"": 0.1}",굴착기 0.4㎥ 1대,CONDITIONAL_HEIGHT,H3m 이하를 잠정 적용. B/R 산정이 곤란한 수종인지 실제 납품 규격으로 확인 필요.,2026 건설공사 표준품셈 · 사용자 제공 1차 정오표 반영본
SHRUB_B,회양목,H0.4 X W0.5,181,주,공통 4-2-2 관목식재(단식),93,149,125,1.448,11.584,"{""조경공"": 3, ""보통인부"": 1}","{""조경공"": 4.343999999999999, ""보통인부"": 1.448}",,SPEC_MATCHED,"판정치 max(H,W)=0.5m. 설계밀도 2.995주/㎡ < 군식 조건 5주/㎡; 단식 품 적용. 군식 조건은 인쇄94/PDF150쪽.",2026 건설공사 표준품셈 · 사용자 제공 1차 정오표 반영본
SHRUB_Y,영산홍,H0.6 X W0.8,159,주,공통 4-2-2 관목식재(단식),93,149,75,2.12,16.96,"{""조경공"": 3, ""보통인부"": 1}","{""조경공"": 6.36, ""보통인부"": 2.12}",,SPEC_MATCHED,"판정치 max(H,W)=0.8m. 설계밀도 0.972주/㎡ < 군식 조건 2주/㎡; 단식 품 적용. 군식 조건은 인쇄94/PDF150쪽.",2026 건설공사 표준품셈 · 사용자 제공 1차 정오표 반영본
SHRUB_R,산철쭉,H0.8 X W0.8,160,주,공통 4-2-2 관목식재(단식),93,149,75,2.1333333333333333,17.066666666666666,"{""조경공"": 3, ""보통인부"": 1}","{""조경공"": 6.4, ""보통인부"": 2.1333333333333333}",,SPEC_MATCHED,"판정치 max(H,W)=0.8m. 설계밀도 1.191주/㎡ < 군식 조건 2주/㎡; 단식 품 적용. 군식 조건은 인쇄94/PDF150쪽.",2026 건설공사 표준품셈 · 사용자 제공 1차 정오표 반영본
SHRUB_S,조팝나무,H1.0 X W0.5,177,주,공통 4-2-2 관목식재(단식),93,149,75,2.36,18.88,"{""조경공"": 3, ""보통인부"": 1}","{""조경공"": 7.08, ""보통인부"": 2.36}",,SPEC_MATCHED,"판정치 max(H,W)=1.0m. 설계밀도 1.538주/㎡ < 군식 조건 5주/㎡; 단식 품 적용. 군식 조건은 인쇄94/PDF150쪽.",2026 건설공사 표준품셈 · 사용자 제공 1차 정오표 반영본
TURF,잔디,평떼 300×300mm / 전면 붙임,1101.988627657236,㎡,공통 4-1-1 잔디붙임,91,147,150,7.346590851048241,58.772726808385926,"{""조경공"": 1, ""보통인부"": 4}","{""조경공"": 7.346590851048241, ""보통인부"": 29.386363404192963}",,CONDITIONAL_METHOD,"300×300mm(0.09㎡) 평떼 가정. 순수 환산 매수=면적/0.09, 할증·손실 별도. 초기 물주기 포함; 유지관리 관수 제외.",2026 건설공사 표준품셈 · 사용자 제공 1차 정오표 반영본
CURB_A,화강석 경계석 A,150×200mm / 길이 1m 가정 / 직선,38.35499999999985,m,토목 1-9-2 보차도 및 도로경계블록 설치,329,385,130,0.29503846153846036,2.360307692307683,"{""특별인부"": 3, ""보통인부"": 1}","{""특별인부"": 0.8851153846153811, ""보통인부"": 0.29503846153846036}",굴착기 0.4㎥ 1대,CONDITIONAL_SITE,"아래폭+높이=350mm이므로 400미만 행. 기초콘크리트·거푸집·굴착·되메우기 별도. A는 이동·적치 용이, B는 협소.",2026 건설공사 표준품셈 · 사용자 제공 1차 정오표 반영본
