time_KST_midpoint,M01,M03,B05,B07
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.011526511705484539,0.01174871511550528,0.030065477599069437,0.031965792522395835
7,0.09226254902119561,0.09297331129008218,0.1430661795589609,0.14842009906388393
8,0.25168996629800006,0.25301344894124655,0.3159262724955143,0.32823878016877645
9,0.41554829952736183,0.4174214603604625,0.4142084773450659,0.44428275092176145
10,0.53361375555651,0.5358930639510271,0.37275331533016465,0.43524477528921435
11,0.5893559315644098,0.5915936656971473,0.2679055659987965,0.3648933028886232
12,0.6028347478109003,0.6051627262013918,0.15226142677083895,0.2777808029279378
13,0.5647681766024962,0.5672976424406311,0.22482309240421555,0.32544211303387394
14,0.4815997453657944,0.48409973192068906,0.2846809277964944,0.35228515064920557
15,0.36323495590054117,0.365374663230969,0.29733216120576966,0.3336675870348662
16,0.21111183738013417,0.21268711193101875,0.22191678097965742,0.23702922800394668
17,0.08423430039095288,0.08518509018616346,0.10719448318430119,0.11387621650879122
18,0.017451940963202392,0.017838735327158007,0.02708074770711082,0.030095208092724545
19,0.001149520813560913,0.0011708192855249462,0.0012795013987192475,0.0016634624586344523
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
