family,rain_mode,year,clean_kwh_kwp,soiled_kwh_kwp,annual_loss_percent,optical_domain_valid
tilted,no_rain,1,1536.8053016640433,1383.2881103109378,9.989371535019963,True
tilted,no_rain,2,1536.8053016640433,1182.5045802753243,23.054366158490243,True
tilted,no_rain,3,1536.8053016640433,NA,NA,False
tilted,no_rain,4,1536.8053016640433,NA,NA,False
tilted,no_rain,5,1536.8053016640433,NA,NA,False
tilted,no_rain,6,1536.8053016640433,NA,NA,False
tilted,no_rain,7,1536.8053016640433,NA,NA,False
tilted,no_rain,8,1536.8053016640433,NA,NA,False
tilted,no_rain,9,1536.8053016640433,NA,NA,False
tilted,no_rain,10,1536.8053016640433,NA,NA,False
tilted,periodic_rain,1,1536.8053016640433,1477.0077927378206,3.891026980546885,True
tilted,periodic_rain,2,1536.8053016640433,1460.4343747175362,4.96946014331245,True
tilted,periodic_rain,3,1536.8053016640433,1459.8189001905725,5.00950910242895,True
tilted,periodic_rain,4,1536.8053016640433,1459.750284256069,5.013973944815226,True
tilted,periodic_rain,5,1536.8053016640433,1459.7018549804138,5.017125240272298,True
tilted,periodic_rain,6,1536.8053016640433,1459.6861023522831,5.018150264594752,True
tilted,periodic_rain,7,1536.8053016640433,1459.7240219473952,5.015682834591022,True
tilted,periodic_rain,8,1536.8053016640433,1459.7422951398516,5.014493797018302,True
tilted,periodic_rain,9,1536.8053016640433,1459.874621128039,5.005883338162891,True
tilted,periodic_rain,10,1536.8053016640433,1459.8966509773472,5.004449854735652,True
vertical,no_rain,1,934.1261188390014,864.5048369087438,7.45309231014628,True
vertical,no_rain,2,934.1261188390014,767.7929627200251,17.806284693731413,True
vertical,no_rain,3,934.1261188390014,701.6631265479214,24.885611011498284,True
vertical,no_rain,4,934.1261188390014,659.0380501311499,29.448707531029164,True
vertical,no_rain,5,934.1261188390014,NA,NA,False
vertical,no_rain,6,934.1261188390014,NA,NA,False
vertical,no_rain,7,934.1261188390014,NA,NA,False
vertical,no_rain,8,934.1261188390014,NA,NA,False
vertical,no_rain,9,934.1261188390014,NA,NA,False
vertical,no_rain,10,934.1261188390014,NA,NA,False
vertical,periodic_rain,1,934.1261188390014,885.4167884537475,5.214427624162083,True
vertical,periodic_rain,2,934.1261188390014,839.2373516523687,10.158025267997767,True
vertical,periodic_rain,3,934.1261188390014,816.7528703439747,12.565032293595069,True
vertical,periodic_rain,4,934.1261188390014,804.9989019150125,13.82331725018859,True
vertical,periodic_rain,5,934.1261188390014,798.6901733506511,14.498678792610972,True
vertical,periodic_rain,6,934.1261188390014,795.2396616185416,14.868062718669918,True
vertical,periodic_rain,7,934.1261188390014,793.3519557285072,15.070145269619315,True
vertical,periodic_rain,8,934.1261188390014,792.308272489183,15.181873570356844,True
vertical,periodic_rain,9,934.1261188390014,791.7618390824537,15.240370318891012,True
vertical,periodic_rain,10,934.1261188390014,791.4392150211626,15.274907845974829,True
