family,rain_mode,years,clean_cumulative_kwh_kwp,soiled_cumulative_kwh_kwp,cumulative_loss_kwh_kwp,cumulative_loss_percent,optical_domain_valid,first_out_of_domain_year
tilted,no_rain,1,1564.401604798113,1374.5802317075152,189.82137309059806,12.13380071385791,True,2.1246575342465754
tilted,no_rain,5,7822.008023990566,NA,NA,NA,False,2.1246575342465754
tilted,no_rain,10,15644.016047981131,NA,NA,NA,False,2.1246575342465754
tilted,periodic_rain,1,1564.401604798113,1488.9942799713601,75.40732482675294,4.820202472017042,True,NA
tilted,periodic_rain,5,7822.008023990566,7355.062833684595,466.9451903059709,5.969633230671998,True,NA
tilted,periodic_rain,10,15644.016047981131,14686.672320272659,957.3437277084731,6.119552196649779,True,NA
vertical,no_rain,1,1119.2338662146813,998.8524923232713,120.38137389140988,10.75569436605302,True,2.5932648401826484
vertical,no_rain,5,5596.169331073406,NA,NA,NA,False,2.5932648401826484
vertical,no_rain,10,11192.338662146813,NA,NA,NA,False,2.5932648401826484
vertical,periodic_rain,1,1119.2338662146813,1033.6110853610453,85.62278085363596,7.650124199977753,True,NA
vertical,periodic_rain,5,5596.169331073406,4684.060098210919,912.1092328624878,16.29881404406209,True,NA
vertical,periodic_rain,10,11192.338662146813,9074.283492614351,2118.0551695324616,18.92415189951191,True,NA
