family,rain_mode,month_index,year,tmy_month,elapsed_years,clean_ac_kwh_kwp,soiled_ac_kwh_kwp,retained_generation_percent,cumulative_loss_kwh_kwp,optical_domain_valid
tilted,no_rain,1,1,1,0.08333333333333333,119.76920011393244,117.09169756969595,97.76444817057352,2.6775025442364804,True
tilted,no_rain,2,1,2,0.16666666666666666,131.66444503170902,126.78348746309733,96.29288106790243,7.558460112848172,True
tilted,no_rain,3,1,3,0.25,163.32360982814203,153.27326214134268,93.84635956958405,17.608807799647543,True
tilted,no_rain,4,1,4,0.3333333333333333,169.87574470098178,156.3390690807971,92.03142529617034,31.145483419832235,True
tilted,no_rain,5,1,5,0.4166666666666667,135.74334737639018,121.24486874619288,89.3191976546771,45.64396205002943,True
tilted,no_rain,6,1,6,0.5,128.8956656501922,112.67944369653247,87.41910996629734,61.86018400368914,True
tilted,no_rain,7,1,7,0.5833333333333334,105.9175899817975,90.65992305309183,85.59477521030473,77.11785093239486,True
tilted,no_rain,8,1,8,0.6666666666666666,123.17798703686472,103.57046819718832,84.08196195493252,96.72536977207137,True
tilted,no_rain,9,1,9,0.75,133.89577786978487,110.69056879101595,82.66920029297992,119.93057885084029,True
tilted,no_rain,10,1,10,0.8333333333333334,135.3559803110374,110.1016566287004,81.34229191476834,145.18490253317728,True
tilted,no_rain,11,1,11,0.9166666666666666,117.4206741482878,93.91639724071246,79.98284622528027,168.6891794407526,True
tilted,no_rain,12,1,12,1.0,99.36158274899316,78.22938909914774,78.73202794763296,189.82137309059814,True
tilted,no_rain,13,2,1,1.0833333333333333,119.76920011393244,93.0473013192312,77.6888392263774,216.54327188529945,True
tilted,no_rain,14,2,2,1.1666666666666667,131.66444503170902,102.59210447575012,77.91936877950812,245.6156124412585,True
tilted,no_rain,15,2,3,1.25,163.32360982814203,124.69580138980349,76.34891337573005,284.24342087959695,True
tilted,no_rain,16,2,4,1.3333333333333333,169.87574470098178,128.2105300683897,75.47312319016942,325.90863551218894,True
tilted,no_rain,17,2,5,1.4166666666666667,135.74334737639018,100.13442748265103,73.7674658965036,361.5175554059281,True
tilted,no_rain,18,2,6,1.5,128.8956656501922,93.93063658979142,72.87338648353638,396.48258446632923,True
tilted,no_rain,19,2,7,1.5833333333333333,105.9175899817975,76.22831611326615,71.96945863889688,426.1718583348607,True
tilted,no_rain,20,2,8,1.6666666666666667,123.17798703686472,87.98554219333522,71.42959899726475,461.3643031783899,True
tilted,no_rain,21,2,9,1.75,133.89577786978487,94.98033275937362,70.93601775236189,500.27974828880144,True
tilted,no_rain,22,2,10,1.8333333333333333,135.3559803110374,95.31783673173456,70.42011480593739,540.3178918681036,True
tilted,no_rain,23,2,11,1.9166666666666667,117.4206741482878,82.06769726883596,69.89203380419585,575.6708687475559,True
tilted,no_rain,24,2,12,2.0,99.36158274899316,68.92147451260693,69.36430822233991,606.1109769839421,True
tilted,no_rain,25,3,1,2.0833333333333335,119.76920011393244,82.71239031781221,69.05981691380644,643.1677867800627,True
tilted,no_rain,26,3,2,2.1666666666666665,131.66444503170902,NA,NA,NA,False
tilted,no_rain,27,3,3,2.25,163.32360982814203,NA,NA,NA,False
tilted,no_rain,28,3,4,2.3333333333333335,169.87574470098178,NA,NA,NA,False
tilted,no_rain,29,3,5,2.4166666666666665,135.74334737639018,NA,NA,NA,False
tilted,no_rain,30,3,6,2.5,128.8956656501922,NA,NA,NA,False
tilted,no_rain,31,3,7,2.5833333333333335,105.9175899817975,NA,NA,NA,False
