family,wind,seed,face,modules,surface_rain_mm_per_horizontal_mm,front_parcels,rear_parcels,ground_parcels,escape_parcels,incoming_litres_per_horizontal_mm
vertical,calm,201,front,2520,0.0,0,0,500000,0,10000.0
vertical,calm,201,rear,2520,0.0,0,0,500000,0,10000.0
vertical,calm,202,front,2520,0.0,0,0,500000,0,10000.0
vertical,calm,202,rear,2520,0.0,0,0,500000,0,10000.0
vertical,calm,203,front,2520,0.0,0,0,500000,0,10000.0
vertical,calm,203,rear,2520,0.0,0,0,500000,0,10000.0
vertical,from_east,201,front,2520,0.598354243736062,178174,0,309827,11999,10240.0
vertical,from_east,201,rear,2520,0.0,178174,0,309827,11999,10240.0
vertical,from_east,202,front,2520,0.6002247933884298,178731,0,309464,11805,10240.0
vertical,from_east,202,rear,2520,0.0,178731,0,309464,11805,10240.0
vertical,from_east,203,front,2520,0.599264331627968,178445,0,309851,11704,10240.0
vertical,from_east,203,rear,2520,0.0,178445,0,309851,11704,10240.0
vertical,from_west,201,front,2520,0.0,0,178275,310095,11630,10240.0
vertical,from_west,201,rear,2520,0.598693427784337,0,178275,310095,11630,10240.0
vertical,from_west,202,front,2520,0.0,0,178976,309451,11573,10240.0
vertical,from_west,202,rear,2520,0.6010475665748394,0,178976,309451,11573,10240.0
vertical,from_west,203,front,2520,0.0,0,178918,309338,11744,10240.0
vertical,from_west,203,rear,2520,0.600852787616424,0,178918,309338,11744,10240.0
vertical,from_north,201,front,2520,0.0,0,0,488218,11782,10240.0
vertical,from_north,201,rear,2520,0.0,0,0,488218,11782,10240.0
vertical,from_north,202,front,2520,0.0,0,0,488353,11647,10240.0
vertical,from_north,202,rear,2520,0.0,0,0,488353,11647,10240.0
vertical,from_north,203,front,2520,0.0,0,0,488292,11708,10240.0
vertical,from_north,203,rear,2520,0.0,0,0,488292,11708,10240.0
vertical,from_south,201,front,2520,0.0,0,0,488234,11766,10240.0
vertical,from_south,201,rear,2520,0.0,0,0,488234,11766,10240.0
vertical,from_south,202,front,2520,0.0,0,0,488201,11799,10240.0
vertical,from_south,202,rear,2520,0.0,0,0,488201,11799,10240.0
vertical,from_south,203,front,2520,0.0,0,0,488246,11754,10240.0
vertical,from_south,203,rear,2520,0.0,0,0,488246,11754,10240.0
tilted,calm,201,front,1920,0.8659865702479339,201186,0,298814,0,10000.0
tilted,calm,201,rear,1920,0.0,201186,0,298814,0,10000.0
tilted,calm,202,front,1920,0.8648200757575758,200915,0,299085,0,10000.0
tilted,calm,202,rear,1920,0.0,200915,0,299085,0,10000.0
tilted,calm,203,front,1920,0.8646392906336089,200873,0,299127,0,10000.0
tilted,calm,203,rear,1920,0.0,200873,0,299127,0,10000.0
tilted,from_east,201,front,1920,0.8652914600550965,196313,0,291688,11999,10240.0
tilted,from_east,201,rear,1920,0.0,196313,0,291688,11999,10240.0
tilted,from_east,202,front,1920,0.8651856749311296,196289,0,291906,11805,10240.0
tilted,from_east,202,rear,1920,0.0,196289,0,291906,11805,10240.0
tilted,from_east,203,front,1920,0.8651988980716254,196292,0,292004,11704,10240.0
tilted,from_east,203,rear,1920,0.0,196292,0,292004,11704,10240.0
tilted,from_west,201,front,1920,0.8669928374655648,196699,0,291671,11630,10240.0
tilted,from_west,201,rear,1920,0.0,196699,0,291671,11630,10240.0
tilted,from_west,202,front,1920,0.8655074380165291,196362,0,292065,11573,10240.0
tilted,from_west,202,rear,1920,0.0,196362,0,292065,11573,10240.0
tilted,from_west,203,front,1920,0.8647449035812673,196189,0,292067,11744,10240.0
tilted,from_west,203,rear,1920,0.0,196189,0,292067,11744,10240.0
tilted,from_north,201,front,1920,0.5674887052341598,128749,0,359469,11782,10240.0
tilted,from_north,201,rear,1920,0.0,128749,0,359469,11782,10240.0
tilted,from_north,202,front,1920,0.5641256198347108,127986,0,360367,11647,10240.0
tilted,from_north,202,rear,1920,0.0,127986,0,360367,11647,10240.0
tilted,from_north,203,front,1920,0.5643548209366391,128038,0,360254,11708,10240.0
tilted,from_north,203,rear,1920,0.0,128038,0,360254,11708,10240.0
tilted,from_south,201,front,1920,1.1639801652892563,264078,0,224156,11766,10240.0
tilted,from_south,201,rear,1920,0.0,264078,0,224156,11766,10240.0
tilted,from_south,202,front,1920,1.1679250688705234,264973,0,223228,11799,10240.0
tilted,from_south,202,rear,1920,0.0,264973,0,223228,11799,10240.0
tilted,from_south,203,front,1920,1.1652407713498623,264364,0,223882,11754,10240.0
tilted,from_south,203,rear,1920,0.0,264364,0,223882,11754,10240.0
