scenario_id,mode,family,tilt,albedo,pitch_m,row_strip_m,clear_gap_m,rows,modules_per_row,modules,pv_kwp,modules_per_m2,kwp_per_m2,specific_yield_kwh_kwp,annual_mwh,site_yield_kwh_m2
tilted_equal_pitch_a0.2_p1.500000,equal_pitch,tilted,30,0.2,1.5,0.9526279441628827,0.5473720558371173,63,40,2520,1260.0,0.252,0.126,1493.3230842974504,1881.5870862147874,188.15870862147875
tilted_equal_pitch_a0.2_p2.000000,equal_pitch,tilted,30,0.2,2.0,0.9526279441628827,1.0473720558371173,47,40,1880,940.0,0.188,0.094,1611.0360578517243,1514.3738943806209,151.4373894380621
tilted_equal_pitch_a0.2_p2.500000,equal_pitch,tilted,30,0.2,2.5,0.9526279441628827,1.5473720558371173,38,40,1520,760.0,0.152,0.076,1649.6976681966123,1253.7702278294253,125.37702278294253
tilted_equal_pitch_a0.2_p3.000000,equal_pitch,tilted,30,0.2,3.0,0.9526279441628827,2.0473720558371173,32,40,1280,640.0,0.128,0.064,1670.8114682417086,1069.3193396746935,106.93193396746935
tilted_equal_pitch_a0.2_p4.000000,equal_pitch,tilted,30,0.2,4.0,0.9526279441628827,3.0473720558371173,24,40,960,480.0,0.096,0.048,1694.9835274839043,813.592093192274,81.3592093192274
tilted_equal_pitch_a0.2_p5.000000,equal_pitch,tilted,30,0.2,5.0,0.9526279441628827,4.047372055837117,19,40,760,380.0,0.076,0.038,1708.9000741018508,649.3820281587034,64.93820281587033
tilted_equal_pitch_a0.2_p6.000000,equal_pitch,tilted,30,0.2,6.0,0.9526279441628827,5.047372055837117,16,40,640,320.0,0.064,0.032,1718.1160856954289,549.7971474225373,54.97971474225373
tilted_equal_clear_gap_a0.2_p1.752628,equal_clear_gap,tilted,30,0.2,1.7526279441628827,0.9526279441628827,0.8,54,40,2160,1080.0,0.216,0.108,1567.422013994989,1692.815775114588,169.2815775114588
tilted_equal_clear_gap_a0.2_p1.952628,equal_clear_gap,tilted,30,0.2,1.9526279441628827,0.9526279441628827,1.0,48,40,1920,960.0,0.192,0.096,1605.0296811952549,1540.8284939474447,154.08284939474447
tilted_equal_clear_gap_a0.2_p2.452628,equal_clear_gap,tilted,30,0.2,2.4526279441628827,0.9526279441628827,1.5,38,40,1520,760.0,0.152,0.076,1647.1633460343232,1251.8441429860857,125.18441429860856
tilted_equal_clear_gap_a0.2_p2.952628,equal_clear_gap,tilted,30,0.2,2.9526279441628827,0.9526279441628827,2.0,32,40,1280,640.0,0.128,0.064,1669.181737576403,1068.276312048898,106.8276312048898
tilted_equal_clear_gap_a0.2_p3.952628,equal_clear_gap,tilted,30,0.2,3.9526279441628827,0.9526279441628827,3.0,24,40,960,480.0,0.096,0.048,1694.1439292808486,813.1890860548073,81.31890860548073
tilted_equal_clear_gap_a0.2_p4.952628,equal_clear_gap,tilted,30,0.2,4.952627944162883,0.9526279441628827,4.0,19,40,760,380.0,0.076,0.038,1708.3700767156085,649.1806291519313,64.91806291519312
tilted_equal_pitch_a0.6_p1.500000,equal_pitch,tilted,30,0.6,1.5,0.9526279441628827,0.5473720558371173,63,40,2520,1260.0,0.252,0.126,1561.7127969213698,1967.758124120926,196.7758124120926
tilted_equal_pitch_a0.6_p2.000000,equal_pitch,tilted,30,0.6,2.0,0.9526279441628827,1.0473720558371173,47,40,1880,940.0,0.188,0.094,1729.8078235643036,1626.0193541504455,162.60193541504455
tilted_equal_pitch_a0.6_p2.500000,equal_pitch,tilted,30,0.6,2.5,0.9526279441628827,1.5473720558371173,38,40,1520,760.0,0.152,0.076,1803.843785933699,1370.9212773096115,137.09212773096112
tilted_equal_pitch_a0.6_p3.000000,equal_pitch,tilted,30,0.6,3.0,0.9526279441628827,2.0473720558371173,32,40,1280,640.0,0.128,0.064,1847.8223075016256,1182.6062768010404,118.26062768010404
tilted_equal_pitch_a0.6_p4.000000,equal_pitch,tilted,30,0.6,4.0,0.9526279441628827,3.0473720558371173,24,40,960,480.0,0.096,0.048,1898.6957649342394,911.3739671684349,91.1373967168435
tilted_equal_pitch_a0.6_p5.000000,equal_pitch,tilted,30,0.6,5.0,0.9526279441628827,4.047372055837117,19,40,760,380.0,0.076,0.038,1927.7656197442047,732.5509355027979,73.25509355027978
tilted_equal_pitch_a0.6_p6.000000,equal_pitch,tilted,30,0.6,6.0,0.9526279441628827,5.047372055837117,16,40,640,320.0,0.064,0.032,1946.6776892340279,622.936860554889,62.29368605548889
tilted_equal_clear_gap_a0.6_p1.752628,equal_clear_gap,tilted,30,0.6,1.7526279441628827,0.9526279441628827,0.8,54,40,2160,1080.0,0.216,0.108,1663.2938390575773,1796.3573461821836,179.63573461821835
tilted_equal_clear_gap_a0.6_p1.952628,equal_clear_gap,tilted,30,0.6,1.9526279441628827,0.9526279441628827,1.0,48,40,1920,960.0,0.192,0.096,1719.602494984007,1650.8183951846468,165.08183951846468
tilted_equal_clear_gap_a0.6_p2.452628,equal_clear_gap,tilted,30,0.6,2.4526279441628827,0.9526279441628827,1.5,38,40,1520,760.0,0.152,0.076,1798.5841401072362,1366.9239464814996,136.69239464814996
tilted_equal_clear_gap_a0.6_p2.952628,equal_clear_gap,tilted,30,0.6,2.9526279441628827,0.9526279441628827,2.0,32,40,1280,640.0,0.128,0.064,1844.4049841206165,1180.4191898371946,118.04191898371946
tilted_equal_clear_gap_a0.6_p3.952628,equal_clear_gap,tilted,30,0.6,3.9526279441628827,0.9526279441628827,3.0,24,40,960,480.0,0.096,0.048,1896.9280455630374,910.525461870258,91.0525461870258
tilted_equal_clear_gap_a0.6_p4.952628,equal_clear_gap,tilted,30,0.6,4.952627944162883,0.9526279441628827,4.0,19,40,760,380.0,0.076,0.038,1926.6688407171912,732.1341594725327,73.21341594725327
vertical_equal_pitch_a0.2_p1.500000,equal_pitch,vertical,90,0.2,1.5,0.5,1.0,63,40,2520,1260.0,0.252,0.126,934.1261188390014,1176.9989097371417,117.69989097371418
vertical_equal_pitch_a0.2_p2.000000,equal_pitch,vertical,90,0.2,2.0,0.5,1.5,47,40,1880,940.0,0.188,0.094,1044.080459567758,981.4356319936925,98.14356319936925
vertical_equal_pitch_a0.2_p2.500000,equal_pitch,vertical,90,0.2,2.5,0.5,2.0,38,40,1520,760.0,0.152,0.076,1119.2320903687296,850.6163886802344,85.06163886802345
vertical_equal_pitch_a0.2_p3.000000,equal_pitch,vertical,90,0.2,3.0,0.5,2.5,32,40,1280,640.0,0.128,0.064,1168.469522249009,747.8204942393658,74.78204942393658
vertical_equal_pitch_a0.2_p4.000000,equal_pitch,vertical,90,0.2,4.0,0.5,3.5,24,40,960,480.0,0.096,0.048,1232.2804662835522,591.4946238161051,59.149462381610505
vertical_equal_pitch_a0.2_p5.000000,equal_pitch,vertical,90,0.2,5.0,0.5,4.5,19,40,760,380.0,0.076,0.038,1269.9337423273305,482.57482208438563,48.25748220843856
vertical_equal_pitch_a0.2_p6.000000,equal_pitch,vertical,90,0.2,6.0,0.5,5.5,16,40,640,320.0,0.064,0.032,1292.0137768806921,413.4444086018215,41.34444086018215
