family,clearance_m,albedo,pitch_m,clear_gap_m,modules,pv_kwp,specific_yield_kwh_kwp,annual_mwh
tilted,0.3,0.2,2.9526279441628827,2,1280,640.0,1564.401604798113,1001.2170270707924
tilted,0.5,0.2,2.9526279441628827,2,1280,640.0,1564.4016220797903,1001.2170381310658
tilted,0.8,0.2,2.9526279441628827,2,1280,640.0,1564.4016108641958,1001.2170309530853
tilted,0.3,0.6,2.9526279441628827,2,1280,640.0,1577.5954789575508,1009.6611065328325
tilted,0.5,0.6,2.9526279441628827,2,1280,640.0,1577.5955306743685,1009.6611396315959
tilted,0.8,0.6,2.9526279441628827,2,1280,640.0,1577.595497110795,1009.6611181509087
vertical,0.3,0.2,2.5,2,1520,760.0,1119.2338662146813,850.6177383231578
vertical,0.5,0.2,2.5,2,1520,760.0,1119.2327004140054,850.6168523146441
vertical,0.8,0.2,2.5,2,1520,760.0,1119.2320903687296,850.6163886802344
vertical,0.3,0.6,2.5,2,1520,760.0,1360.1367554665308,1033.7039341545633
vertical,0.5,0.6,2.5,2,1520,760.0,1360.133321219941,1033.7013241271552
vertical,0.8,0.6,2.5,2,1520,760.0,1360.1315241320524,1033.69995834036
