time_KST_midpoint,B01,B03,B05,B07
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.013714334252766565,0.01744230316484713,0.030065477599069437,0.031965792522395835
7,0.09907938589722305,0.11091539211937233,0.1430661795589609,0.14842009906388393
8,0.2642313184985186,0.2860984553455081,0.3159262724955143,0.32823878016877645
9,0.4328840388432699,0.4635828887799994,0.4142084773450659,0.44428275092176145
10,0.5542205090609967,0.5881826714152925,0.37275331533016465,0.43524477528921435
11,0.609370568466372,0.640682910779857,0.2679055659987965,0.3648933028886232
12,0.6235071329763865,0.6553749721211133,0.15226142677083895,0.2777808029279378
13,0.5872322369881093,0.6227678024627078,0.22482309240421555,0.32544211303387394
14,0.5044541982438375,0.5449858215258918,0.2846809277964944,0.35228515064920557
15,0.38294972655573967,0.41817688661239677,0.29733216120576966,0.3336675870348662
16,0.22587427834115756,0.2519906119448041,0.22191678097965742,0.23702922800394668
17,0.09324084893012294,0.1090958569486741,0.10719448318430119,0.11387621650879122
18,0.021192367995508644,0.027683091763707625,0.02708074770711082,0.030095208092724545
19,0.0018464737218375933,0.002219851630358405,0.0012795013987192475,0.0016634624586344523
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
