family,rain_mode,year,clean_kwh_kwp,soiled_kwh_kwp,annual_loss_percent,optical_domain_valid
tilted,no_rain,1,1564.401604798113,1374.5802317075152,12.13380071385791,True
tilted,no_rain,2,1564.401604798113,1148.1120009047695,26.610149377024335,True
tilted,no_rain,3,1564.401604798113,NA,NA,False
tilted,no_rain,4,1564.401604798113,NA,NA,False
tilted,no_rain,5,1564.401604798113,NA,NA,False
tilted,no_rain,6,1564.401604798113,NA,NA,False
tilted,no_rain,7,1564.401604798113,NA,NA,False
tilted,no_rain,8,1564.401604798113,NA,NA,False
tilted,no_rain,9,1564.401604798113,NA,NA,False
tilted,no_rain,10,1564.401604798113,NA,NA,False
tilted,periodic_rain,1,1564.401604798113,1488.9942799713601,4.820202472017042,True
tilted,periodic_rain,2,1564.401604798113,1467.1805837756185,6.214582030874428,True
tilted,periodic_rain,3,1564.401604798113,1466.3769276769422,6.265953500720251,True
tilted,periodic_rain,4,1564.401604798113,1466.2866227281108,6.271725992167084,True
tilted,periodic_rain,5,1564.401604798113,1466.2244195325634,6.275702157581183,True
tilted,periodic_rain,6,1564.401604798113,1466.2007422604556,6.277215661021417,True
tilted,periodic_rain,7,1564.401604798113,1466.2494794176464,6.27410027447099,True
tilted,periodic_rain,8,1564.401604798113,1466.266108891061,6.273037281863213,True
tilted,periodic_rain,9,1564.401604798113,1466.4296210512505,6.2625852240483955,True
tilted,periodic_rain,10,1564.401604798113,1466.46353496765,6.26041737173377,True
vertical,no_rain,1,1119.2338662146813,998.8524923232713,10.75569436605302,True
vertical,no_rain,2,1119.2338662146813,846.1934249914982,24.395298379115612,True
vertical,no_rain,3,1119.2338662146813,NA,NA,False
vertical,no_rain,4,1119.2338662146813,NA,NA,False
vertical,no_rain,5,1119.2338662146813,NA,NA,False
vertical,no_rain,6,1119.2338662146813,NA,NA,False
vertical,no_rain,7,1119.2338662146813,NA,NA,False
vertical,no_rain,8,1119.2338662146813,NA,NA,False
vertical,no_rain,9,1119.2338662146813,NA,NA,False
vertical,no_rain,10,1119.2338662146813,NA,NA,False
vertical,periodic_rain,1,1119.2338662146813,1033.6110853610453,7.650124199977753,True
vertical,periodic_rain,2,1119.2338662146813,952.0786930471984,14.93478514305613,True
vertical,periodic_rain,3,1119.2338662146813,915.015218141089,18.246289201761957,True
vertical,periodic_rain,4,1119.2338662146813,896.5076103037668,19.899885326396397,True
vertical,periodic_rain,5,1119.2338662146813,886.8474913578191,20.7629863491182,True
vertical,periodic_rain,6,1119.2338662146813,881.6471154554968,21.22762346020835,True
vertical,periodic_rain,7,1119.2338662146813,878.8287431798606,21.47943609389572,True
vertical,periodic_rain,8,1119.2338662146813,877.2808697974963,21.61773367665198,True
vertical,periodic_rain,9,1119.2338662146813,876.4718864093492,21.690013779369302,True
vertical,periodic_rain,10,1119.2338662146813,875.9947795612302,21.73264176468327,True
