family,module_type,rain_mode,deposition_multiplier,wash_multiplier,first_out_of_domain_year,final_front_g_m2,final_rear_g_m2,ten_year_clean_kwh_kwp,ten_year_soiled_kwh_kwp,ten_year_loss_percent,all_hours_within_optical_mass_domain
tilted,monofacial,no_rain,0.5,0.5,4.249315068493151,23.398260136879966,16.360071280991637,15644.016047981131,NA,NA,False
tilted,monofacial,no_rain,0.5,1.0,4.249315068493151,23.398260136879966,16.360071280991637,15644.016047981131,NA,NA,False
tilted,monofacial,no_rain,0.5,2.0,4.249315068493151,23.398260136879966,16.360071280991637,15644.016047981131,NA,NA,False
tilted,monofacial,no_rain,1.0,0.5,2.1246575342465754,46.69652027375993,32.62014256198327,15644.016047981131,NA,NA,False
tilted,monofacial,no_rain,1.0,1.0,2.1246575342465754,46.69652027375993,32.62014256198327,15644.016047981131,NA,NA,False
tilted,monofacial,no_rain,1.0,2.0,2.1246575342465754,46.69652027375993,32.62014256198327,15644.016047981131,NA,NA,False
tilted,monofacial,no_rain,2.0,0.5,1.0623287671232877,93.29304054751985,65.14028512396655,15644.016047981131,NA,NA,False
tilted,monofacial,no_rain,2.0,1.0,1.0623287671232877,93.29304054751985,65.14028512396655,15644.016047981131,NA,NA,False
tilted,monofacial,no_rain,2.0,2.0,1.0623287671232877,93.29304054751985,65.14028512396655,15644.016047981131,NA,NA,False
tilted,monofacial,periodic_rain,0.5,0.5,NA,1.0149637181121056,16.360071280991555,15644.016047981131,14716.51646422462,5.928781848035801,True
tilted,monofacial,periodic_rain,0.5,1.0,NA,0.523936160433495,16.360071280991555,15644.016047981131,15112.800860464016,3.395644608697957,True
tilted,monofacial,periodic_rain,0.5,2.0,NA,0.28094132604030475,16.360071280991555,15644.016047981131,15339.59720023163,1.9459123975316175,True
tilted,monofacial,periodic_rain,1.0,0.5,NA,2.029927433028898,32.62014256198311,15644.016047981131,13987.965947369556,10.5858373932395,True
tilted,monofacial,periodic_rain,1.0,1.0,NA,1.04787232086699,32.62014256198311,15644.016047981131,14686.672320272659,6.119552196649779,True
tilted,monofacial,periodic_rain,1.0,2.0,NA,0.5618826520806095,32.62014256198311,15644.016047981131,15095.064109751424,3.5090218301108878,True
tilted,monofacial,periodic_rain,2.0,0.5,NA,4.059854862862483,65.14028512396621,15644.016047981131,12810.21183665451,18.11430135736997,True
tilted,monofacial,periodic_rain,2.0,1.0,NA,2.0957446417339796,65.14028512396621,15644.016047981131,13934.025782087028,10.930634823241428,True
tilted,monofacial,periodic_rain,2.0,2.0,NA,1.123765304161219,65.14028512396621,15644.016047981131,14653.673480021263,6.330488059603284,True
vertical,bifacial,no_rain,0.5,0.5,5.186415525114155,19.188579164854197,19.18586428882115,11192.338662146813,NA,NA,False
vertical,bifacial,no_rain,0.5,1.0,5.186415525114155,19.188579164854197,19.18586428882115,11192.338662146813,NA,NA,False
vertical,bifacial,no_rain,0.5,2.0,5.186415525114155,19.188579164854197,19.18586428882115,11192.338662146813,NA,NA,False
vertical,bifacial,no_rain,1.0,0.5,2.5932648401826484,38.27715832970839,38.27172857764229,11192.338662146813,NA,NA,False
vertical,bifacial,no_rain,1.0,1.0,2.5932648401826484,38.27715832970839,38.27172857764229,11192.338662146813,NA,NA,False
vertical,bifacial,no_rain,1.0,2.0,2.5932648401826484,38.27715832970839,38.27172857764229,11192.338662146813,NA,NA,False
vertical,bifacial,no_rain,2.0,0.5,1.296689497716895,76.45431665941679,76.44345715528459,11192.338662146813,NA,NA,False
vertical,bifacial,no_rain,2.0,1.0,1.296689497716895,76.45431665941679,76.44345715528459,11192.338662146813,NA,NA,False
vertical,bifacial,no_rain,2.0,2.0,1.296689497716895,76.45431665941679,76.44345715528459,11192.338662146813,NA,NA,False
vertical,bifacial,periodic_rain,0.5,0.5,NA,4.452476371748526,4.464892903871313,11192.338662146813,9364.264429846522,16.333264096832167,True
vertical,bifacial,periodic_rain,0.5,1.0,NA,2.3504285828118974,2.3581240501579614,11192.338662146813,9924.68959789499,11.32604277369743,True
vertical,bifacial,periodic_rain,0.5,2.0,NA,1.189854989212679,1.1937727262857185,11192.338662146813,10408.773948064598,7.0009024720837,True
vertical,bifacial,periodic_rain,1.0,0.5,NA,8.901201856889394,8.925996376968799,11192.338662146813,8402.429345873612,24.926955844437124,True
vertical,bifacial,periodic_rain,1.0,1.0,NA,4.700656177761743,4.716042960521785,11192.338662146813,9074.283492614351,18.92415189951191,True
vertical,bifacial,periodic_rain,1.0,2.0,NA,2.37970940133792,2.387544851395222,11192.338662146813,9821.284084192517,12.249938277790765,True
vertical,bifacial,periodic_rain,2.0,0.5,2.4833333333333334,17.798652827171136,17.848203323163773,11192.338662146813,NA,NA,False
vertical,bifacial,periodic_rain,2.0,1.0,NA,9.401111367661445,9.43188078124943,11192.338662146813,8074.565721738894,27.856313452633643,True
vertical,bifacial,periodic_rain,2.0,2.0,NA,4.7594182255884006,4.775089101614228,11192.338662146813,8914.17620012015,20.354659832904733,True
