family,module_type,rain_mode,deposition_multiplier,wash_multiplier,clean_annual_kwh_kwp,soiled_annual_kwh_kwp,lost_annual_kwh_kwp,annual_loss_percent,final_front_g_m2,final_rear_g_m2
tilted,monofacial,no_rain,0.5,0.5,1536.8053016640433,1445.2377287572126,91.5675729068309,5.958306677344365,1.8850620996902527,1.1873559271695162
tilted,monofacial,no_rain,0.5,1.0,1536.8053016640433,1445.2377287572126,91.5675729068309,5.958306677344365,1.8850620996902527,1.1873559271695162
tilted,monofacial,no_rain,0.5,2.0,1536.8053016640433,1445.2377287572126,91.5675729068309,5.958306677344365,1.8850620996902527,1.1873559271695162
tilted,monofacial,no_rain,1.0,0.5,1536.8053016640433,1383.2881103109385,153.51719135310503,9.989371535019924,3.6701241993804716,2.274711854339023
tilted,monofacial,no_rain,1.0,1.0,1536.8053016640433,1383.2881103109385,153.51719135310503,9.989371535019924,3.6701241993804716,2.274711854339023
tilted,monofacial,no_rain,1.0,2.0,1536.8053016640433,1383.2881103109385,153.51719135310503,9.989371535019924,3.6701241993804716,2.274711854339023
tilted,monofacial,no_rain,2.0,0.5,1536.8053016640433,1287.215050543228,249.5902511208154,16.24085047406855,7.2402483987609125,4.449423708678035
tilted,monofacial,no_rain,2.0,1.0,1536.8053016640433,1287.215050543228,249.5902511208154,16.24085047406855,7.2402483987609125,4.449423708678035
tilted,monofacial,no_rain,2.0,2.0,1536.8053016640433,1287.215050543228,249.5902511208154,16.24085047406855,7.2402483987609125,4.449423708678035
tilted,monofacial,periodic_rain,0.5,0.5,1536.8053016640433,1489.645223381188,47.16007828285543,3.0687087187811484,0.6149207998795099,1.1873559271695162
tilted,monofacial,periodic_rain,0.5,1.0,1536.8053016640433,1502.4418562162798,34.363445447763674,2.236031162213922,0.34842580243139076,1.1873559271695162
tilted,monofacial,periodic_rain,0.5,2.0,1536.8053016640433,1514.2551906879999,22.55011097604371,1.4673368807113425,0.17139824723923125,1.1873559271695162
tilted,monofacial,periodic_rain,1.0,0.5,1536.8053016640433,1455.3548632853185,81.45043837872493,5.299984213389353,1.216895891392394,2.274711854339023
tilted,monofacial,periodic_rain,1.0,1.0,1536.8053016640433,1477.0077927378234,59.7975089262201,3.8910269805467044,0.6944574425040207,2.274711854339023
tilted,monofacial,periodic_rain,1.0,2.0,1536.8053016640433,1497.3340158092997,39.471285854743684,2.568398600135256,0.3427146085727467,2.274711854339023
tilted,monofacial,periodic_rain,2.0,0.5,1536.8053016640433,1394.9781406436246,141.82716102041894,9.228700660184433,2.4208460744181624,4.449423708678035
tilted,monofacial,periodic_rain,2.0,1.0,1536.8053016640433,1431.4360006525671,105.36930101147622,6.856385834782258,1.3865207226492806,4.449423708678035
tilted,monofacial,periodic_rain,2.0,2.0,1536.8053016640433,1466.8051934557031,70.0001082083403,4.5549106404399184,0.6853473312397775,4.449423708678035
vertical,bifacial,no_rain,0.5,0.5,934.1261188390014,892.0119656172656,42.11415322173588,4.508401207545547,1.2543200413224058,1.2544040731994404
vertical,bifacial,no_rain,0.5,1.0,934.1261188390014,892.0119656172656,42.11415322173588,4.508401207545547,1.2543200413224058,1.2544040731994404
vertical,bifacial,no_rain,0.5,2.0,934.1261188390014,892.0119656172656,42.11415322173588,4.508401207545547,1.2543200413224058,1.2544040731994404
vertical,bifacial,no_rain,1.0,0.5,934.1261188390014,864.5048369087438,69.62128193025764,7.453092310146293,2.408640082644788,2.408808146398902
vertical,bifacial,no_rain,1.0,1.0,934.1261188390014,864.5048369087438,69.62128193025764,7.453092310146293,2.408640082644788,2.408808146398902
vertical,bifacial,no_rain,1.0,2.0,934.1261188390014,864.5048369087438,69.62128193025764,7.453092310146293,2.408640082644788,2.408808146398902
vertical,bifacial,no_rain,2.0,0.5,934.1261188390014,818.2578161338854,115.86830270511601,12.403924948498966,4.71728016528955,4.717616292797825
vertical,bifacial,no_rain,2.0,1.0,934.1261188390014,818.2578161338854,115.86830270511601,12.403924948498966,4.71728016528955,4.717616292797825
vertical,bifacial,no_rain,2.0,2.0,934.1261188390014,818.2578161338854,115.86830270511601,12.403924948498966,4.71728016528955,4.717616292797825
vertical,bifacial,periodic_rain,0.5,0.5,934.1261188390014,901.4302878863566,32.695830952644755,3.500151670449111,0.8159500686173659,0.8157241088713121
vertical,bifacial,periodic_rain,0.5,1.0,934.1261188390014,905.0932780506142,29.032840788387176,3.1080215190290645,0.6766979802593492,0.6764031111671407
vertical,bifacial,periodic_rain,0.5,2.0,934.1261188390014,909.533031711084,24.593087127917283,2.63273733941658,0.5038398450557731,0.5034592527272568
vertical,bifacial,periodic_rain,1.0,0.5,934.1261188390014,879.457192957773,54.66892588122847,5.8524137992388985,1.5794037619331662,1.5789769069327912
vertical,bifacial,periodic_rain,1.0,1.0,934.1261188390014,885.4167884537493,48.70933038525207,5.214427624161875,1.314369437735326,1.3138145937440002
vertical,bifacial,periodic_rain,1.0,2.0,934.1261188390014,892.6574741975041,41.46864464149719,4.43929827088417,0.9859235274718673,0.9852012030551269
vertical,bifacial,periodic_rain,2.0,0.5,934.1261188390014,841.2631218848603,92.86299695414121,9.941162663298396,3.106311148564758,3.1054825030557485
vertical,bifacial,periodic_rain,2.0,1.0,934.1261188390014,850.8874092400237,83.2387095989778,8.910864167081936,2.589712352687283,2.5886375588977217
vertical,bifacial,periodic_rain,2.0,2.0,934.1261188390014,862.7537056202391,71.3724132187623,7.640554286980974,1.9500908923040647,1.9486851037108677
