family,wind,seed,face,modules,surface_rain_mm_per_horizontal_mm,front_parcels,rear_parcels,ground_parcels,escape_parcels,incoming_litres_per_horizontal_mm
vertical,calm,201,front,1520,0.0,0,0,500000,0,10000.0
vertical,calm,201,rear,1520,0.0,0,0,500000,0,10000.0
vertical,calm,202,front,1520,0.0,0,0,500000,0,10000.0
vertical,calm,202,rear,1520,0.0,0,0,500000,0,10000.0
vertical,calm,203,front,1520,0.0,0,0,500000,0,10000.0
vertical,calm,203,rear,1520,0.0,0,0,500000,0,10000.0
vertical,from_east,201,front,1520,0.5978919530230535,107387,0,380614,11999,10240.0
vertical,from_east,201,rear,1520,0.0,107387,0,380614,11999,10240.0
vertical,from_east,202,front,1520,0.5999631143975642,107759,0,380436,11805,10240.0
vertical,from_east,202,rear,1520,0.0,107759,0,380436,11805,10240.0
vertical,from_east,203,front,1520,0.6030698564593302,108317,0,379979,11704,10240.0
vertical,from_east,203,rear,1520,0.0,108317,0,379979,11704,10240.0
vertical,from_west,201,front,1520,0.0,0,107542,380828,11630,10240.0
vertical,from_west,201,rear,1520,0.5987549369290996,0,107542,380828,11630,10240.0
vertical,from_west,202,front,1520,0.0,0,107547,380880,11573,10240.0
vertical,from_west,202,rear,1520,0.5987827751196173,0,107547,380880,11573,10240.0
vertical,from_west,203,front,1520,0.0,0,107244,381012,11744,10240.0
vertical,from_west,203,rear,1520,0.5970957807742497,0,107244,381012,11744,10240.0
vertical,from_north,201,front,1520,0.0,0,0,488218,11782,10240.0
vertical,from_north,201,rear,1520,0.0,0,0,488218,11782,10240.0
vertical,from_north,202,front,1520,0.0,0,0,488353,11647,10240.0
vertical,from_north,202,rear,1520,0.0,0,0,488353,11647,10240.0
vertical,from_north,203,front,1520,0.0,0,0,488292,11708,10240.0
vertical,from_north,203,rear,1520,0.0,0,0,488292,11708,10240.0
vertical,from_south,201,front,1520,0.0,0,0,488234,11766,10240.0
vertical,from_south,201,rear,1520,0.0,0,0,488234,11766,10240.0
vertical,from_south,202,front,1520,0.0,0,0,488201,11799,10240.0
vertical,from_south,202,rear,1520,0.0,0,0,488201,11799,10240.0
vertical,from_south,203,front,1520,0.0,0,0,488246,11754,10240.0
vertical,from_south,203,rear,1520,0.0,0,0,488246,11754,10240.0
tilted,calm,201,front,1280,0.8682141012396695,134469,0,365531,0,10000.0
tilted,calm,201,rear,1280,0.0,134469,0,365531,0,10000.0
tilted,calm,202,front,1280,0.8670906508264464,134295,0,365705,0,10000.0
tilted,calm,202,rear,1280,0.0,134295,0,365705,0,10000.0
tilted,calm,203,front,1280,0.8667097107438018,134236,0,365764,0,10000.0
tilted,calm,203,rear,1280,0.0,134236,0,365764,0,10000.0
tilted,from_east,201,front,1280,0.865996694214876,130982,0,357019,11999,10240.0
tilted,from_east,201,rear,1280,0.0,130982,0,357019,11999,10240.0
tilted,from_east,202,front,1280,0.8689057851239671,131422,0,356773,11805,10240.0
tilted,from_east,202,rear,1280,0.0,131422,0,356773,11805,10240.0
tilted,from_east,203,front,1280,0.8673520661157026,131187,0,357109,11704,10240.0
tilted,from_east,203,rear,1280,0.0,131187,0,357109,11704,10240.0
tilted,from_west,201,front,1280,0.8678942148760331,131269,0,357101,11630,10240.0
tilted,from_west,201,rear,1280,0.0,131269,0,357101,11630,10240.0
tilted,from_west,202,front,1280,0.8680264462809919,131289,0,357138,11573,10240.0
tilted,from_west,202,rear,1280,0.0,131289,0,357138,11573,10240.0
tilted,from_west,203,front,1280,0.8671404958677688,131155,0,357101,11744,10240.0
tilted,from_west,203,rear,1280,0.0,131155,0,357101,11744,10240.0
tilted,from_north,201,front,1280,0.5648661157024794,85436,0,402782,11782,10240.0
tilted,from_north,201,rear,1280,0.0,85436,0,402782,11782,10240.0
tilted,from_north,202,front,1280,0.5657586776859505,85571,0,402782,11647,10240.0
tilted,from_north,202,rear,1280,0.0,85571,0,402782,11647,10240.0
tilted,from_north,203,front,1280,0.5667570247933885,85722,0,402570,11708,10240.0
tilted,from_north,203,rear,1280,0.0,85722,0,402570,11708,10240.0
tilted,from_south,201,front,1280,1.164297520661157,176100,0,312134,11766,10240.0
tilted,from_south,201,rear,1280,0.0,176100,0,312134,11766,10240.0
tilted,from_south,202,front,1280,1.1689388429752068,176802,0,311399,11799,10240.0
tilted,from_south,202,rear,1280,0.0,176802,0,311399,11799,10240.0
tilted,from_south,203,front,1280,1.165494214876033,176281,0,311965,11754,10240.0
tilted,from_south,203,rear,1280,0.0,176281,0,311965,11754,10240.0
