scenario_id,mode,family,tilt,module_type,bifaciality,albedo,pitch_m,clearance_m,row_strip_m,clear_gap_m,rows,modules_per_row,modules,pv_kwp,modules_per_m2,kwp_per_m2,specific_yield_kwh_kwp,annual_mwh,site_yield_kwh_m2
tilted_equal_pitch_a0.2_p1.500000,equal_pitch,tilted,30,monofacial,0.0,0.2,1.5,0.3,0.9526279441628827,0.5473720558371173,63,40,2520,1260.0,0.252,0.126,1450.2003483934325,1827.2524389757248,182.72524389757248
tilted_equal_pitch_a0.2_p2.000000,equal_pitch,tilted,30,monofacial,0.0,0.2,2.0,0.3,0.9526279441628827,1.0473720558371173,47,40,1880,940.0,0.188,0.094,1540.439515171425,1448.0131442611394,144.80131442611395
tilted_equal_pitch_a0.2_p2.500000,equal_pitch,tilted,30,monofacial,0.0,0.2,2.5,0.3,0.9526279441628827,1.5473720558371173,38,40,1520,760.0,0.152,0.076,1558.2213457305766,1184.2482227552382,118.42482227552381
tilted_equal_pitch_a0.2_p3.000000,equal_pitch,tilted,30,monofacial,0.0,0.2,3.0,0.3,0.9526279441628827,2.0473720558371173,32,40,1280,640.0,0.128,0.064,1564.867763482166,1001.5153686285863,100.15153686285863
tilted_equal_pitch_a0.2_p4.000000,equal_pitch,tilted,30,monofacial,0.0,0.2,4.0,0.3,0.9526279441628827,3.0473720558371173,24,40,960,480.0,0.096,0.048,1570.8305915653868,753.9986839513857,75.39986839513857
tilted_equal_pitch_a0.2_p5.000000,equal_pitch,tilted,30,monofacial,0.0,0.2,5.0,0.3,0.9526279441628827,4.047372055837117,19,40,760,380.0,0.076,0.038,1573.8397198654393,598.0590935488669,59.805909354886694
tilted_equal_pitch_a0.2_p6.000000,equal_pitch,tilted,30,monofacial,0.0,0.2,6.0,0.3,0.9526279441628827,5.047372055837117,16,40,640,320.0,0.064,0.032,1575.7938046378047,504.2540174840975,50.42540174840975
tilted_equal_clear_gap_a0.2_p1.752628,equal_clear_gap,tilted,30,monofacial,0.0,0.2,1.7526279441628827,0.3,0.9526279441628827,0.8,54,40,2160,1080.0,0.216,0.108,1509.649913002953,1630.4219060431894,163.04219060431893
tilted_equal_clear_gap_a0.2_p1.952628,equal_clear_gap,tilted,30,monofacial,0.0,0.2,1.9526279441628827,0.3,0.9526279441628827,1.0,48,40,1920,960.0,0.192,0.096,1536.805299065554,1475.3330871029318,147.5333087102932
tilted_equal_clear_gap_a0.2_p2.452628,equal_clear_gap,tilted,30,monofacial,0.0,0.2,2.4526279441628827,0.3,0.9526279441628827,1.5,38,40,1520,760.0,0.152,0.076,1557.353302162297,1183.5885096433458,118.35885096433458
tilted_equal_clear_gap_a0.2_p2.952628,equal_clear_gap,tilted,30,monofacial,0.0,0.2,2.9526279441628827,0.3,0.9526279441628827,2.0,32,40,1280,640.0,0.128,0.064,1564.401604798113,1001.2170270707924,100.12170270707924
tilted_equal_clear_gap_a0.2_p3.952628,equal_clear_gap,tilted,30,monofacial,0.0,0.2,3.9526279441628827,0.3,0.9526279441628827,3.0,24,40,960,480.0,0.096,0.048,1570.646853214884,753.9104895431443,75.39104895431443
tilted_equal_clear_gap_a0.2_p4.952628,equal_clear_gap,tilted,30,monofacial,0.0,0.2,4.952627944162883,0.3,0.9526279441628827,4.0,19,40,760,380.0,0.076,0.038,1573.726533402299,598.0160826928736,59.801608269287364
tilted_equal_pitch_a0.6_p1.500000,equal_pitch,tilted,30,monofacial,0.0,0.6,1.5,0.3,0.9526279441628827,0.5473720558371173,63,40,2520,1260.0,0.252,0.126,1454.1786243456954,1832.2650666755762,183.22650666755763
tilted_equal_pitch_a0.6_p2.000000,equal_pitch,tilted,30,monofacial,0.0,0.6,2.0,0.3,0.9526279441628827,1.0473720558371173,47,40,1880,940.0,0.188,0.094,1548.1329617762874,1455.2449840697102,145.52449840697102
tilted_equal_pitch_a0.6_p2.500000,equal_pitch,tilted,30,monofacial,0.0,0.6,2.5,0.3,0.9526279441628827,1.5473720558371173,38,40,1520,760.0,0.152,0.076,1569.1350953696883,1192.5426724809631,119.25426724809631
tilted_equal_pitch_a0.6_p3.000000,equal_pitch,tilted,30,monofacial,0.0,0.6,3.0,0.3,0.9526279441628827,2.0473720558371173,32,40,1280,640.0,0.128,0.064,1578.2714089096626,1010.093701702184,101.0093701702184
tilted_equal_pitch_a0.6_p4.000000,equal_pitch,tilted,30,monofacial,0.0,0.6,4.0,0.3,0.9526279441628827,3.0473720558371173,24,40,960,480.0,0.096,0.048,1587.7598343910768,762.1247205077169,76.21247205077168
